;I_mag;V_gen;X;Y;R;theta;Points
0;15.0;5.0;2.791e-05;4.13509e-07;2.79137e-05;0.858;12.0
1;15.0;5.0;2.791e-05;4.09784e-07;2.79137e-05;0.846;12.0
2;15.0;5.0;2.791e-05;4.09784e-07;2.79137e-05;0.846;12.0
3;15.0;5.0;2.791e-05;4.09784e-07;2.79137e-05;0.846;12.0
4;15.0;5.0;2.791e-05;4.09784e-07;2.79137e-05;0.84;12.0
5;15.0;5.0;2.79063e-05;4.09784e-07;2.791e-05;0.84;12.0
6;15.0;5.0;2.79063e-05;4.09784e-07;2.791e-05;0.84;12.0
7;15.0;5.0;2.79063e-05;4.09784e-07;2.791e-05;0.84;12.0
8;15.0;5.0;2.79063e-05;4.09784e-07;2.791e-05;0.84;12.0
9;15.0;5.0;2.79063e-05;4.06058e-07;2.791e-05;0.834;12.0
10;15.0;5.0;2.79063e-05;4.06058e-07;2.791e-05;0.834;12.0
11;15.0;5.0;2.79063e-05;4.06058e-07;2.791e-05;0.834;12.0
12;15.0;5.0;2.79063e-05;4.06058e-07;2.791e-05;0.834;12.0
13;15.0;5.0;2.79063e-05;4.06058e-07;2.791e-05;0.834;12.0
14;15.0;5.0;2.79063e-05;4.02333e-07;2.79137e-05;0.828;12.0
15;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
16;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
17;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
18;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
19;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
20;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
21;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
22;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
23;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
24;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
25;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
26;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
27;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
28;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
29;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
30;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
31;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
32;15.0;5.0;2.791e-05;4.02333e-07;2.79137e-05;0.828;12.0
33;15.0;5.0;2.791e-05;4.02333e-07;2.79174e-05;0.828;12.0
34;15.0;5.0;2.79137e-05;4.02333e-07;2.79174e-05;0.828;12.0
35;15.0;5.0;2.79137e-05;4.02333e-07;2.79174e-05;0.828;12.0
36;15.0;5.0;2.79137e-05;4.02333e-07;2.79174e-05;0.828;12.0
37;15.0;5.0;2.79137e-05;4.06058e-07;2.79212e-05;0.834;12.0
38;15.0;5.0;2.79174e-05;4.06058e-07;2.79212e-05;0.834;12.0
39;15.0;5.0;2.79174e-05;4.06058e-07;2.79212e-05;0.834;12.0
40;15.0;5.0;2.79174e-05;4.06058e-07;2.79212e-05;0.834;12.0
41;15.0;5.0;2.79212e-05;4.06058e-07;2.79249e-05;0.834;12.0
42;15.0;5.0;2.79212e-05;4.06058e-07;2.79249e-05;0.834;12.0
43;15.0;5.0;2.79212e-05;4.06058e-07;2.79249e-05;0.834;12.0
44;15.0;5.0;2.79212e-05;4.06058e-07;2.79286e-05;0.834;12.0
45;15.0;5.0;2.79249e-05;4.06058e-07;2.79286e-05;0.834;12.0
46;15.0;5.0;2.79249e-05;4.06058e-07;2.79286e-05;0.834;12.0
47;15.0;5.0;2.79286e-05;4.06058e-07;2.79286e-05;0.834;12.0
48;15.0;5.0;2.79286e-05;4.06058e-07;2.79286e-05;0.834;12.0
49;15.0;5.0;2.79286e-05;4.06058e-07;2.79286e-05;0.834;12.0
50;15.0;5.0;2.79286e-05;4.06058e-07;2.79323e-05;0.834;12.0
51;15.0;5.0;2.79286e-05;4.06058e-07;2.79323e-05;0.834;12.0
52;15.0;5.0;2.79286e-05;4.06058e-07;2.79361e-05;0.834;12.0
53;15.0;5.0;2.79323e-05;4.06058e-07;2.79361e-05;0.834;12.0
54;15.0;5.0;2.79323e-05;4.06058e-07;2.79361e-05;0.834;12.0
55;15.0;5.0;2.79323e-05;4.06058e-07;2.79398e-05;0.834;12.0
56;15.0;5.0;2.79361e-05;4.06058e-07;2.79398e-05;0.834;12.0
57;15.0;5.0;2.79361e-05;4.06058e-07;2.79398e-05;0.834;12.0
58;15.0;5.0;2.79398e-05;4.06058e-07;2.79435e-05;0.834;12.0
59;15.0;5.0;2.79398e-05;4.06058e-07;2.79435e-05;0.834;12.0
60;15.0;5.0;2.79398e-05;4.06058e-07;2.79472e-05;0.828;12.0
61;15.0;5.0;2.79435e-05;4.02333e-07;2.79472e-05;0.828;12.0
62;15.0;5.0;2.79435e-05;4.02333e-07;2.79472e-05;0.828;12.0
63;15.0;5.0;2.79472e-05;4.02333e-07;2.7951e-05;0.828;12.0
64;15.0;5.0;2.79472e-05;4.02333e-07;2.7951e-05;0.828;12.0
65;15.0;5.0;2.7951e-05;4.02333e-07;2.79547e-05;0.834;12.0
66;15.0;5.0;2.7951e-05;4.06058e-07;2.79547e-05;0.834;12.0
67;15.0;5.0;2.7951e-05;4.06058e-07;2.79584e-05;0.834;12.0
68;15.0;5.0;2.79547e-05;4.06058e-07;2.79584e-05;0.834;12.0
69;15.0;5.0;2.79547e-05;4.06058e-07;2.79621e-05;0.834;12.0
70;15.0;5.0;2.79584e-05;4.06058e-07;2.79621e-05;0.834;12.0
71;15.0;5.0;2.79584e-05;4.06058e-07;2.79621e-05;0.834;12.0
72;15.0;5.0;2.79621e-05;4.06058e-07;2.79621e-05;0.834;12.0
73;15.0;5.0;2.79621e-05;4.06058e-07;2.79621e-05;0.834;12.0
74;15.0;5.0;2.79621e-05;4.06058e-07;2.79659e-05;0.834;12.0
75;15.0;5.0;2.79621e-05;4.06058e-07;2.79696e-05;0.834;12.0
76;15.0;5.0;2.79659e-05;4.06058e-07;2.79696e-05;0.84;12.0
77;15.0;5.0;2.79659e-05;4.09784e-07;2.79696e-05;0.84;12.0
78;15.0;5.0;2.79696e-05;4.09784e-07;2.79733e-05;0.84;12.0
79;15.0;5.0;2.79696e-05;4.09784e-07;2.79733e-05;0.84;12.0
80;15.0;5.0;2.79733e-05;4.09784e-07;2.7977e-05;0.846;12.0
81;15.0;5.0;2.79733e-05;4.09784e-07;2.7977e-05;0.846;12.0
82;15.0;5.0;2.79733e-05;4.09784e-07;2.79808e-05;0.846;12.0
83;15.0;5.0;2.7977e-05;4.09784e-07;2.79808e-05;0.852;12.0
84;15.0;5.0;2.7977e-05;4.13509e-07;2.79845e-05;0.852;12.0
85;15.0;5.0;2.79808e-05;4.13509e-07;2.79845e-05;0.852;12.0
86;15.0;5.0;2.79808e-05;4.13509e-07;2.79845e-05;0.858;12.0
87;15.0;5.0;2.79845e-05;4.17234e-07;2.79882e-05;0.858;12.0
88;15.0;5.0;2.79845e-05;4.17234e-07;2.79882e-05;0.858;12.0
89;15.0;5.0;2.79845e-05;4.17234e-07;2.79919e-05;0.864;12.0
90;15.0;5.0;2.79882e-05;4.2096e-07;2.79919e-05;0.864;12.0
