;I_mag;V_gen;X;Y;R;theta;Points
0;17.0;5.0;2.83496e-05;4.69388e-07;2.83533e-05;0.948;12.0
1;17.0;5.0;2.83496e-05;4.69388e-07;2.83533e-05;0.948;12.0
2;17.0;5.0;2.83496e-05;4.69388e-07;2.83533e-05;0.948;12.0
3;17.0;5.0;2.83533e-05;4.69388e-07;2.8357e-05;0.948;12.0
4;17.0;5.0;2.83533e-05;4.69388e-07;2.8357e-05;0.948;12.0
5;17.0;5.0;2.83533e-05;4.69388e-07;2.8357e-05;0.948;12.0
6;17.0;5.0;2.8357e-05;4.69388e-07;2.83608e-05;0.948;12.0
7;17.0;5.0;2.8357e-05;4.69388e-07;2.83608e-05;0.948;12.0
8;17.0;5.0;2.8357e-05;4.69388e-07;2.83608e-05;0.948;12.0
9;17.0;5.0;2.83608e-05;4.69388e-07;2.83645e-05;0.948;12.0
10;17.0;5.0;2.83608e-05;4.69388e-07;2.83645e-05;0.948;12.0
11;17.0;5.0;2.83608e-05;4.69388e-07;2.83645e-05;0.948;12.0
12;17.0;5.0;2.83608e-05;4.73114e-07;2.83645e-05;0.954;12.0
13;17.0;5.0;2.83645e-05;4.73114e-07;2.83682e-05;0.954;12.0
14;17.0;5.0;2.83645e-05;4.73114e-07;2.83682e-05;0.954;12.0
15;17.0;5.0;2.83645e-05;4.73114e-07;2.83682e-05;0.954;12.0
16;17.0;5.0;2.83645e-05;4.73114e-07;2.83719e-05;0.954;12.0
17;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.954;12.0
18;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.954;12.0
19;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
20;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
21;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
22;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
23;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
24;17.0;5.0;2.83682e-05;4.73114e-07;2.83719e-05;0.96;12.0
25;17.0;5.0;2.83719e-05;4.73114e-07;2.83719e-05;0.972;12.0
26;17.0;5.0;2.83719e-05;4.76841e-07;2.83719e-05;0.972;12.0
27;17.0;5.0;2.83719e-05;4.76841e-07;2.83719e-05;0.972;12.0
28;17.0;5.0;2.83719e-05;4.76841e-07;2.83719e-05;0.972;12.0
29;17.0;5.0;2.83719e-05;4.76841e-07;2.83719e-05;0.978;12.0
30;17.0;5.0;2.83719e-05;4.80566e-07;2.83719e-05;0.978;12.0
31;17.0;5.0;2.83719e-05;4.80566e-07;2.83719e-05;0.978;12.0
32;17.0;5.0;2.83719e-05;4.80566e-07;2.83719e-05;0.978;12.0
33;17.0;5.0;2.83719e-05;4.80566e-07;2.83719e-05;0.978;12.0
34;17.0;5.0;2.83719e-05;4.84291e-07;2.83719e-05;0.984;12.0
35;17.0;5.0;2.83719e-05;4.84291e-07;2.83719e-05;0.984;12.0
36;17.0;5.0;2.83719e-05;4.84291e-07;2.83719e-05;0.984;12.0
37;17.0;5.0;2.83719e-05;4.84291e-07;2.83719e-05;0.984;12.0
38;17.0;5.0;2.83719e-05;4.84291e-07;2.83719e-05;0.984;12.0
39;17.0;5.0;2.83719e-05;4.88017e-07;2.83719e-05;0.99;12.0
