4	0	6	1
4	0	10	2
1	0	2	0
1	0	2	0
4	0	6	1
4	0	6	1
4	0	10	2
4	0	10	2
1	0	10	1
1	0	6	0
4	0	6	1
4	0	6	1
1	0	6	0
1	0	6	0
4	0	2	1
4	0	2	1
4	0	6	1
4	0	6	1
1	0	2	0
1	0	2	0
1	0	10	1
4	0	6	1
1	0	6	0
1	0	6	0
4	0	6	1
1	0	10	1
4	0	10	2
4	0	10	2
4	0	6	1
4	0	6	1
1	0	2	0
1	0	2	0
4	0	2	1
1	0	2	0
1	0	2	0
1	0	2	0
4	0	10	2
4	0	10	2
4	0	6	1
4	0	6	1
1	0	6	0
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	10	2
4	0	10	2
4	0	10	2
7	0	6	2
4	0	2	1
1	0	2	0
1	0	2	0
1	0	6	0
4	0	2	1
1	0	6	0
1	0	6	0
4	0	2	1
1	0	6	0
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	6	1
7	0	2	2
7	0	2	2
4	0	6	1
7	0	2	2
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	6	2
7	0	6	2
7	0	6	2
9	0	2	2
9	0	2	2
9	0	6	3
9	0	6	3
9	0	2	2
9	0	2	2
9	0	2	2
9	0	2	2
9	0	2	2
9	0	2	2
9	0	0	2
9	0	0	2
12	0	2	3
12	0	2	3
12	0	2	3
12	0	2	3
12	0	0	3
9	0	2	2
12	0	2	3
12	0	2	3
12	0	2	3
12	0	2	3
12	0	2	3
12	0	2	3
12	0	0	3
12	0	2	3
15	0	0	4
15	0	0	4
12	0	0	3
15	0	0	4
12	0	2	3
12	0	2	3
15	0	0	4
15	0	0	4
19	0	0	5
19	0	0	5
19	0	0	5
20	0	0	5
20	0	0	5
20	0	0	5
20	0	0	5
20	0	0	5
20	0	0	5
20	0	0	5
23	0	0	6
20	0	0	5
23	0	0	6
23	0	0	6
27	0	0	8
28	0	0	8
28	0	0	8
28	0	0	8
27	0	0	8
27	0	0	8
28	0	0	8
28	0	0	8
28	0	0	8
28	0	0	8
31	0	0	9
31	0	0	9
35	0	0	10
31	0	0	9
31	0	0	9
31	0	0	9
35	0	0	10
38	0	0	11
35	0	0	10
35	0	0	10
38	0	0	11
38	0	0	11
38	0	0	11
38	0	0	11
38	0	0	11
38	0	0	11
38	0	0	11
39	0	0	11
43	0	0	12
47	0	0	14
47	0	0	14
47	0	0	14
43	0	0	12
47	0	0	14
51	0	0	15
51	0	0	15
54	0	0	16
55	0	0	16
55	0	0	16
55	0	0	16
59	0	0	17
55	0	0	16
63	0	0	18
63	0	0	18
69	0	0	20
69	0	0	20
74	0	0	22
73	0	0	21
71	0	0	21
77	0	0	23
75	0	0	22
75	0	0	22
75	0	0	22
71	0	0	21
72	0	0	21
77	0	0	23
75	0	0	22
77	0	0	23
83	0	0	24
86	0	0	25
86	0	0	25
