;I_mag;V_gen;X;Y;R;theta;Points
0;-6.0;5.0;8.07462e-06;6.29578e-07;8.1007e-06;4.458;12.0
1;-6.0;5.0;8.07462e-06;6.29578e-07;8.1007e-06;4.47;12.0
2;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
3;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
4;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
5;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
6;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
7;-6.0;5.0;8.07462e-06;6.3144e-07;8.1007e-06;4.47;12.0
8;-6.0;5.0;8.07462e-06;6.3144e-07;8.09884e-06;4.476;12.0
9;-6.0;5.0;8.07462e-06;6.3144e-07;8.09884e-06;4.476;12.0
10;-6.0;5.0;8.07462e-06;6.3144e-07;8.09884e-06;4.476;12.0
11;-6.0;5.0;8.07462e-06;6.3144e-07;8.09884e-06;4.476;12.0
12;-6.0;5.0;8.07276e-06;6.3144e-07;8.09698e-06;4.476;12.0
13;-6.0;5.0;8.07276e-06;6.3144e-07;8.09698e-06;4.476;12.0
14;-6.0;5.0;8.07276e-06;6.3144e-07;8.09511e-06;4.476;12.0
15;-6.0;5.0;8.0709e-06;6.3144e-07;8.09511e-06;4.476;12.0
16;-6.0;5.0;8.0709e-06;6.3144e-07;8.09511e-06;4.476;12.0
17;-6.0;5.0;8.0709e-06;6.3144e-07;8.09511e-06;4.476;12.0
18;-6.0;5.0;8.0709e-06;6.3144e-07;8.09325e-06;4.476;12.0
19;-6.0;5.0;8.06904e-06;6.33303e-07;8.09325e-06;4.488;12.0
20;-6.0;5.0;8.06904e-06;6.33303e-07;8.09325e-06;4.488;12.0
21;-6.0;5.0;8.06904e-06;6.33303e-07;8.09325e-06;4.488;12.0
22;-6.0;5.0;8.06717e-06;6.33303e-07;8.09139e-06;4.488;12.0
23;-6.0;5.0;8.06717e-06;6.33303e-07;8.09139e-06;4.488;12.0
24;-6.0;5.0;8.06717e-06;6.33303e-07;8.09139e-06;4.488;12.0
25;-6.0;5.0;8.06717e-06;6.33303e-07;8.08953e-06;4.488;12.0
26;-6.0;5.0;8.06531e-06;6.33303e-07;8.08953e-06;4.5;12.0
27;-6.0;5.0;8.06531e-06;6.33303e-07;8.08953e-06;4.5;12.0
28;-6.0;5.0;8.06531e-06;6.33303e-07;8.08953e-06;4.5;12.0
29;-6.0;5.0;8.06531e-06;6.33303e-07;8.08953e-06;4.5;12.0
30;-6.0;5.0;8.06345e-06;6.33303e-07;8.08953e-06;4.5;12.0
31;-6.0;5.0;8.06345e-06;6.33303e-07;8.08953e-06;4.5;12.0
32;-6.0;5.0;8.06345e-06;6.33303e-07;8.08953e-06;4.5;12.0
33;-6.0;5.0;8.06345e-06;6.33303e-07;8.08953e-06;4.5;12.0
34;-6.0;5.0;8.06159e-06;6.35166e-07;8.08766e-06;4.512;12.0
35;-6.0;5.0;8.06159e-06;6.35166e-07;8.08766e-06;4.512;12.0
