;I_mag;V_gen;X;Y;R;theta;Points
0;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.788;12.0
1;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.788;12.0
2;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.788;12.0
3;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.788;12.0
4;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.788;12.0
5;-2.0;5.0;7.73562e-06;6.48204e-07;7.7617e-06;4.776;12.0
6;-2.0;5.0;7.73376e-06;6.46342e-07;7.75984e-06;4.776;12.0
7;-2.0;5.0;7.73376e-06;6.46342e-07;7.75984e-06;4.776;12.0
8;-2.0;5.0;7.73376e-06;6.46342e-07;7.75984e-06;4.776;12.0
9;-2.0;5.0;7.73376e-06;6.46342e-07;7.75984e-06;4.776;12.0
10;-2.0;5.0;7.73376e-06;6.46342e-07;7.75984e-06;4.764;12.0
11;-2.0;5.0;7.73376e-06;6.44479e-07;7.75984e-06;4.764;12.0
12;-2.0;5.0;7.73376e-06;6.44479e-07;7.75984e-06;4.764;12.0
13;-2.0;5.0;7.73562e-06;6.44479e-07;7.7617e-06;4.764;12.0
14;-2.0;5.0;7.73562e-06;6.44479e-07;7.7617e-06;4.764;12.0
15;-2.0;5.0;7.73562e-06;6.44479e-07;7.7617e-06;4.764;12.0
16;-2.0;5.0;7.73562e-06;6.44479e-07;7.7617e-06;4.764;12.0
17;-2.0;5.0;7.73562e-06;6.44479e-07;7.7617e-06;4.764;12.0
18;-2.0;5.0;7.73562e-06;6.42616e-07;7.7617e-06;4.752;12.0
19;-2.0;5.0;7.73562e-06;6.42616e-07;7.7617e-06;4.752;12.0
20;-2.0;5.0;7.73562e-06;6.42616e-07;7.7617e-06;4.752;12.0
21;-2.0;5.0;7.73562e-06;6.42616e-07;7.7617e-06;4.752;12.0
22;-2.0;5.0;7.73562e-06;6.42616e-07;7.7617e-06;4.752;12.0
23;-2.0;5.0;7.73562e-06;6.42616e-07;7.76356e-06;4.752;12.0
24;-2.0;5.0;7.73749e-06;6.42616e-07;7.76356e-06;4.752;12.0
25;-2.0;5.0;7.73749e-06;6.42616e-07;7.76356e-06;4.752;12.0
26;-2.0;5.0;7.73749e-06;6.40754e-07;7.76543e-06;4.74;12.0
27;-2.0;5.0;7.73935e-06;6.40754e-07;7.76543e-06;4.74;12.0
28;-2.0;5.0;7.73935e-06;6.40754e-07;7.76543e-06;4.74;12.0
29;-2.0;5.0;7.73935e-06;6.40754e-07;7.76729e-06;4.74;12.0
30;-2.0;5.0;7.74121e-06;6.40754e-07;7.76729e-06;4.74;12.0
31;-2.0;5.0;7.74121e-06;6.40754e-07;7.76729e-06;4.74;12.0
32;-2.0;5.0;7.74121e-06;6.40754e-07;7.76915e-06;4.734;12.0
33;-2.0;5.0;7.74121e-06;6.40754e-07;7.76915e-06;4.734;12.0
34;-2.0;5.0;7.74121e-06;6.40754e-07;7.77101e-06;4.734;12.0
