;I_mag;V_gen;X;Y;R;theta;Points
0;-8.0;5.0;8.2702e-06;6.2399e-07;8.29628e-06;4.32;12.0
1;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
2;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
3;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
4;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
5;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
6;-8.0;5.0;8.27207e-06;6.2399e-07;8.29628e-06;4.32;12.0
7;-8.0;5.0;8.27393e-06;6.2399e-07;8.29628e-06;4.32;12.0
8;-8.0;5.0;8.27393e-06;6.2399e-07;8.29628e-06;4.32;12.0
9;-8.0;5.0;8.27393e-06;6.2399e-07;8.29628e-06;4.32;12.0
10;-8.0;5.0;8.27393e-06;6.2399e-07;8.29628e-06;4.32;12.0
11;-8.0;5.0;8.27393e-06;6.2399e-07;8.29628e-06;4.32;12.0
12;-8.0;5.0;8.27393e-06;6.2399e-07;8.29814e-06;4.32;12.0
13;-8.0;5.0;8.27579e-06;6.2399e-07;8.29814e-06;4.32;12.0
14;-8.0;5.0;8.27579e-06;6.2399e-07;8.29814e-06;4.32;12.0
15;-8.0;5.0;8.27579e-06;6.2399e-07;8.29814e-06;4.32;12.0
16;-8.0;5.0;8.27579e-06;6.2399e-07;8.3e-06;4.32;12.0
17;-8.0;5.0;8.27765e-06;6.2399e-07;8.3e-06;4.32;12.0
18;-8.0;5.0;8.27765e-06;6.2399e-07;8.3e-06;4.32;12.0
19;-8.0;5.0;8.27765e-06;6.2399e-07;8.3e-06;4.32;12.0
20;-8.0;5.0;8.27765e-06;6.2399e-07;8.3e-06;4.32;12.0
21;-8.0;5.0;8.27765e-06;6.2399e-07;8.30187e-06;4.32;12.0
22;-8.0;5.0;8.27952e-06;6.2399e-07;8.30187e-06;4.32;12.0
23;-8.0;5.0;8.27952e-06;6.2399e-07;8.30187e-06;4.32;12.0
24;-8.0;5.0;8.27952e-06;6.2399e-07;8.30187e-06;4.32;12.0
25;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
26;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
27;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
28;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
29;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
30;-8.0;5.0;8.28138e-06;6.2399e-07;8.30559e-06;4.314;12.0
31;-8.0;5.0;8.28138e-06;6.2399e-07;8.30559e-06;4.314;12.0
32;-8.0;5.0;8.28138e-06;6.2399e-07;8.30373e-06;4.314;12.0
33;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
34;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
35;-8.0;5.0;8.27952e-06;6.2399e-07;8.30373e-06;4.314;12.0
