;I_mag;V_gen;X;Y;R;theta;Points
0;-5.0;5.0;7.98894e-06;6.27715e-07;8.01316e-06;4.494;12.0
1;-5.0;5.0;7.99081e-06;6.27715e-07;8.01502e-06;4.494;12.0
2;-5.0;5.0;7.99081e-06;6.27715e-07;8.01502e-06;4.494;12.0
3;-5.0;5.0;7.99267e-06;6.27715e-07;8.01688e-06;4.494;12.0
4;-5.0;5.0;7.99267e-06;6.25852e-07;8.01875e-06;4.482;12.0
5;-5.0;5.0;7.99453e-06;6.25852e-07;8.01875e-06;4.482;12.0
6;-5.0;5.0;7.99453e-06;6.25852e-07;8.02061e-06;4.482;12.0
7;-5.0;5.0;7.99453e-06;6.25852e-07;8.02061e-06;4.482;12.0
8;-5.0;5.0;7.99639e-06;6.25852e-07;8.02247e-06;4.482;12.0
9;-5.0;5.0;7.99639e-06;6.25852e-07;8.02247e-06;4.482;12.0
10;-5.0;5.0;7.99826e-06;6.25852e-07;8.02433e-06;4.482;12.0
11;-5.0;5.0;7.99826e-06;6.25852e-07;8.0262e-06;4.476;12.0
12;-5.0;5.0;8.00012e-06;6.2399e-07;8.0262e-06;4.464;12.0
13;-5.0;5.0;8.00012e-06;6.2399e-07;8.0262e-06;4.464;12.0
14;-5.0;5.0;8.00198e-06;6.2399e-07;8.0262e-06;4.464;12.0
15;-5.0;5.0;8.00198e-06;6.2399e-07;8.02806e-06;4.464;12.0
16;-5.0;5.0;8.00384e-06;6.2399e-07;8.02806e-06;4.464;12.0
17;-5.0;5.0;8.00384e-06;6.2399e-07;8.02806e-06;4.464;12.0
18;-5.0;5.0;8.00571e-06;6.2399e-07;8.02992e-06;4.464;12.0
19;-5.0;5.0;8.00571e-06;6.2399e-07;8.02992e-06;4.464;12.0
20;-5.0;5.0;8.00571e-06;6.2399e-07;8.03178e-06;4.464;12.0
21;-5.0;5.0;8.00757e-06;6.2399e-07;8.03178e-06;4.464;12.0
22;-5.0;5.0;8.00757e-06;6.2399e-07;8.03178e-06;4.464;12.0
23;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
24;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
25;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
26;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
27;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
28;-5.0;5.0;8.00943e-06;6.2399e-07;8.03365e-06;4.464;12.0
29;-5.0;5.0;8.00943e-06;6.2399e-07;8.03551e-06;4.458;12.0
30;-5.0;5.0;8.01129e-06;6.2399e-07;8.03551e-06;4.458;12.0
31;-5.0;5.0;8.01129e-06;6.2399e-07;8.03551e-06;4.458;12.0
32;-5.0;5.0;8.01129e-06;6.2399e-07;8.03551e-06;4.458;12.0
33;-5.0;5.0;8.01129e-06;6.2399e-07;8.03551e-06;4.458;12.0
34;-5.0;5.0;8.01129e-06;6.25852e-07;8.03551e-06;4.47;12.0
35;-5.0;5.0;8.01129e-06;6.25852e-07;8.03551e-06;4.476;12.0
