Wed Jun 09 19:27:35 2021

21.06.02-03_008.top image. S02

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 70.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (14.8,6.5)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -338.5    -7.464  -10.701   -5.954   -7.492  -10.701   -1.672   -3.065   -1.025   -0.871   -2.126   45.754   45.748   45.750   45.752   45.748   45.758   45.749   45.751   45.759   45.757  
  -332.6    -7.408  -10.701   -5.987   -7.558  -10.698   -1.561   -2.916   -1.021   -0.857   -1.961   45.756   45.748   45.748   45.753   45.751   45.759   45.749   45.755   45.756   45.756  
  -326.6    -7.661  -10.701   -5.420   -7.064  -10.696   -1.538   -2.964   -0.995   -0.834   -1.980   45.757   45.750   45.750   45.754   45.759   45.761   45.748   45.754   45.758   45.757  
  -320.6    -7.515  -10.701   -4.990   -6.045  -10.672   -1.441   -2.819   -0.966   -0.799   -1.854   45.755   45.752   45.749   45.754   45.756   45.763   45.747   45.755   45.759   45.757  
  -314.6    -6.936  -10.701   -4.502   -5.893  -10.505   -1.661   -2.708   -0.975   -0.773   -1.974   45.757   45.751   45.750   45.756   45.756   45.762   45.749   45.754   45.759   45.757  
  -308.6    -6.761  -10.701   -4.196   -5.199  -10.412   -1.724   -2.803   -0.960   -0.752   -2.074   45.760   45.754   45.752   45.756   45.753   45.761   45.751   45.753   45.761   45.758  
  -302.7    -6.112  -10.696   -4.137   -4.790   -9.922   -1.650   -2.944   -0.993   -0.764   -1.881   45.762   45.759   45.752   45.753   45.756   45.763   45.751   45.755   45.758   45.761  
  -296.7    -5.288  -10.654   -3.939   -4.765   -9.530   -1.633   -2.976   -1.036   -0.756   -1.531   45.758   45.758   45.750   45.755   45.755   45.760   45.749   45.754   45.757   45.758  
  -290.7    -5.191  -10.681   -3.967   -4.411   -8.780   -1.504   -2.329   -0.997   -0.712   -1.674   45.759   45.757   45.751   45.757   45.753   45.764   45.750   45.756   45.758   45.758  
  -284.7    -5.521  -10.324   -3.495   -4.077   -8.971   -1.529   -2.221   -0.966   -0.683   -1.330   45.762   45.758   45.751   45.758   45.754   45.762   45.750   45.753   45.759   45.759  
  -278.7    -5.638   -9.804   -3.302   -3.840   -8.073   -1.412   -2.174   -0.869   -0.655   -1.255   45.763   45.757   45.751   45.756   45.755   45.761   45.749   45.755   45.757   45.758  
  -272.8    -5.182   -9.536   -3.277   -3.496   -7.567   -1.253   -2.219   -0.875   -0.609   -1.392   45.763   45.757   45.754   45.755   45.755   45.762   45.748   45.757   45.758   45.759  
  -266.8    -5.172   -9.640   -3.275   -3.533   -7.143   -1.175   -2.192   -0.821   -0.570   -1.371   45.764   45.755   45.753   45.756   45.756   45.761   45.750   45.759   45.760   45.762  
  -260.8    -4.617   -8.990   -3.190   -3.604   -6.790   -1.160   -2.079   -0.819   -0.539   -1.407   45.765   45.756   45.753   45.757   45.756   45.762   45.751   45.760   45.759   45.759  
  -254.8    -4.450   -8.204   -2.843   -3.270   -6.661   -1.158   -2.280   -0.771   -0.514   -1.400   45.758   45.753   45.748   45.752   45.753   45.759   45.746   45.756   45.752   45.756  
  -248.8    -4.569   -7.903   -2.566   -2.803   -6.347   -1.113   -1.972   -0.746   -0.526   -1.291   45.762   45.757   45.746   45.757   45.755   45.757   45.748   45.759   45.754   45.758  
  -242.9    -4.324   -7.816   -2.412   -2.877   -5.736   -1.080   -2.077   -0.733   -0.515   -1.223   45.761   45.759   45.747   45.758   45.756   45.759   45.747   45.762   45.756   45.758  
  -236.9    -4.138   -7.440   -2.452   -2.898   -5.605   -1.046   -1.798   -0.716   -0.499   -1.162   45.763   45.758   45.748   45.758   45.756   45.759   45.748   45.760   45.759   45.760  
  -230.9    -3.716   -6.878   -2.420   -2.474   -5.522   -0.938   -1.810   -0.636   -0.488   -1.221   45.761   45.757   45.747   45.754   45.754   45.759   45.748   45.761   45.757   45.762  
  -224.9    -3.438   -6.529   -2.139   -2.421   -5.385   -0.918   -1.727   -0.648   -0.452   -1.190   45.766   45.755   45.750   45.753   45.756   45.757   45.750   45.759   45.758   45.760  
  -218.9    -4.180   -5.985   -2.091   -2.176   -4.965   -0.909   -1.723   -0.645   -0.446   -1.126   45.763   45.757   45.752   45.754   45.756   45.761   45.748   45.758   45.759   45.765  
  -213.0    -3.657   -5.794   -1.941   -2.233   -4.209   -0.845   -1.778   -0.625   -0.434   -0.983   45.762   45.757   45.751   45.750   45.756   45.759   45.744   45.755   45.755   45.762  
  -207.0    -3.370   -5.795   -1.940   -1.950   -4.070   -0.873   -1.611   -0.563   -0.431   -0.822   45.763   45.757   45.752   45.754   45.757   45.759   45.746   45.755   45.758   45.765  
  -201.0    -2.953   -5.254   -1.740   -1.584   -3.834   -0.842   -1.605   -0.551   -0.401   -0.758   45.765   45.753   45.752   45.756   45.756   45.761   45.750   45.757   45.758   45.763  
  -195.0    -2.854   -4.966   -1.713   -1.480   -3.710   -0.774   -1.633   -0.538   -0.387   -0.788   45.767   45.755   45.753   45.756   45.756   45.759   45.751   45.759   45.758   45.764  
  -189.0    -2.703   -4.774   -1.620   -1.493   -3.605   -0.721   -1.631   -0.491   -0.367   -0.902   45.764   45.754   45.753   45.754   45.757   45.760   45.752   45.760   45.761   45.763  
  -183.1    -2.954   -4.626   -1.525   -1.371   -3.203   -0.694   -1.390   -0.450   -0.341   -0.956   45.767   45.756   45.754   45.754   45.760   45.760   45.752   45.762   45.760   45.763  
  -177.1    -2.447   -4.199   -1.461   -1.272   -2.922   -0.674   -1.441   -0.365   -0.361   -0.900   45.765   45.760   45.754   45.755   45.759   45.760   45.754   45.760   45.761   45.762  
  -171.1    -2.515   -3.697   -1.454   -1.245   -2.531   -0.645   -1.453   -0.393   -0.324   -0.791   45.762   45.753   45.750   45.751   45.752   45.757   45.750   45.753   45.753   45.756  
  -165.1    -2.427   -3.585   -1.266   -1.260   -2.471   -0.599   -1.260   -0.361   -0.331   -0.648   45.757   45.756   45.748   45.754   45.754   45.756   45.748   45.756   45.753   45.760  
  -159.1    -2.180   -3.446   -1.295   -1.165   -2.515   -0.546   -1.063   -0.348   -0.317   -0.501   45.759   45.754   45.748   45.749   45.755   45.758   45.749   45.757   45.752   45.761  
  -153.2    -2.137   -3.316   -1.209   -1.039   -2.545   -0.529   -1.075   -0.345   -0.316   -0.519   45.760   45.755   45.749   45.751   45.755   45.764   45.753   45.759   45.754   45.762  
  -147.2    -1.904   -3.015   -1.202   -0.914   -2.297   -0.540   -1.065   -0.314   -0.289   -0.491   45.761   45.757   45.749   45.754   45.755   45.760   45.751   45.758   45.754   45.762  
  -141.2    -1.898   -2.734   -1.102   -0.814   -2.091   -0.513   -1.115   -0.325   -0.273   -0.485   45.764   45.759   45.749   45.753   45.755   45.761   45.750   45.759   45.754   45.762  
  -135.2    -1.714   -2.520   -1.059   -0.799   -1.911   -0.470   -1.131   -0.293   -0.262   -0.504   45.763   45.754   45.750   45.754   45.756   45.762   45.751   45.761   45.756   45.760  
  -129.2    -1.587   -2.573   -0.986   -0.780   -1.732   -0.466   -0.997   -0.298   -0.241   -0.419   45.764   45.751   45.749   45.753   45.755   45.760   45.751   45.754   45.756   45.757  
  -123.3    -1.498   -2.264   -0.919   -0.626   -1.553   -0.430   -0.879   -0.269   -0.234   -0.416   45.764   45.751   45.752   45.749   45.758   45.764   45.753   45.757   45.757   45.759  
  -117.3    -1.466   -2.083   -0.868   -0.570   -1.430   -0.441   -0.797   -0.296   -0.221   -0.368   45.762   45.751   45.753   45.749   45.761   45.766   45.755   45.761   45.757   45.762  
  -111.3    -1.428   -1.785   -0.832   -0.540   -1.348   -0.424   -0.743   -0.290   -0.204   -0.369   45.760   45.752   45.754   45.749   45.759   45.765   45.753   45.761   45.759   45.763  
  -105.3    -1.329   -1.734   -0.764   -0.498   -1.311   -0.369   -0.720   -0.249   -0.192   -0.352   45.760   45.749   45.754   45.749   45.756   45.766   45.752   45.760   45.759   45.766  
   -99.3    -1.120   -1.706   -0.738   -0.467   -1.310   -0.373   -0.707   -0.239   -0.172   -0.297   45.759   45.753   45.756   45.747   45.756   45.765   45.752   45.761   45.758   45.764  
   -93.4    -1.110   -1.514   -0.713   -0.415   -1.196   -0.344   -0.688   -0.238   -0.168   -0.282   45.760   45.755   45.757   45.752   45.757   45.765   45.750   45.761   45.760   45.762  
   -87.4    -1.063   -1.375   -0.694   -0.387   -0.962   -0.320   -0.576   -0.227   -0.152   -0.270   45.759   45.750   45.754   45.749   45.754   45.758   45.750   45.759   45.759   45.761  
   -81.4    -0.915   -1.226   -0.609   -0.368   -0.903   -0.308   -0.541   -0.205   -0.149   -0.248   45.760   45.750   45.754   45.748   45.756   45.758   45.747   45.759   45.757   45.760  
   -75.4    -0.826   -1.121   -0.565   -0.358   -0.863   -0.297   -0.509   -0.196   -0.132   -0.230   45.759   45.752   45.751   45.751   45.757   45.761   45.747   45.757   45.759   45.762  
   -69.4    -0.719   -1.019   -0.491   -0.344   -0.883   -0.249   -0.486   -0.167   -0.117   -0.208   45.762   45.756   45.751   45.752   45.760   45.764   45.751   45.759   45.760   45.762  
   -63.5    -0.645   -0.885   -0.482   -0.268   -0.775   -0.205   -0.430   -0.143   -0.105   -0.178   45.758   45.755   45.751   45.748   45.758   45.764   45.753   45.756   45.761   45.763  
   -57.5    -0.528   -0.811   -0.416   -0.249   -0.590   -0.174   -0.445   -0.139   -0.102   -0.158   45.761   45.754   45.754   45.751   45.757   45.764   45.752   45.757   45.759   45.765  
   -51.5    -0.508   -0.730   -0.394   -0.226   -0.527   -0.170   -0.383   -0.122   -0.096   -0.131   45.761   45.757   45.755   45.752   45.759   45.764   45.754   45.761   45.762   45.767  
   -45.5    -0.445   -0.649   -0.328   -0.209   -0.492   -0.164   -0.317   -0.112   -0.085   -0.116   45.763   45.754   45.753   45.751   45.758   45.766   45.749   45.763   45.763   45.761  
   -39.5    -0.379   -0.533   -0.279   -0.174   -0.435   -0.135   -0.291   -0.093   -0.075   -0.095   45.765   45.754   45.749   45.751   45.761   45.763   45.750   45.761   45.763   45.764  
   -33.6    -0.295   -0.437   -0.241   -0.141   -0.364   -0.115   -0.233   -0.081   -0.063   -0.082   45.763   45.756   45.750   45.752   45.765   45.762   45.751   45.765   45.762   45.764  
   -27.6    -0.247   -0.327   -0.195   -0.120   -0.276   -0.104   -0.195   -0.074   -0.052   -0.067   45.765   45.754   45.757   45.753   45.761   45.765   45.756   45.764   45.763   45.767  
   -21.6    -0.193   -0.263   -0.142   -0.098   -0.208   -0.080   -0.170   -0.066   -0.043   -0.051   45.765   45.757   45.756   45.757   45.763   45.765   45.750   45.763   45.762   45.767  
   -15.6    -0.133   -0.175   -0.097   -0.068   -0.158   -0.056   -0.143   -0.049   -0.035   -0.045   45.769   45.755   45.759   45.757   45.760   45.766   45.752   45.765   45.763   45.767  
    -9.6    -0.090   -0.106   -0.057   -0.041   -0.096   -0.033   -0.101   -0.032   -0.024   -0.035   45.766   45.761   45.762   45.762   45.764   45.768   45.752   45.763   45.762   45.771  
    -3.7    -0.036   -0.025   -0.017   -0.020   -0.044   -0.012   -0.040   -0.019   -0.015   -0.017   45.763   45.759   45.755   45.757   45.761   45.762   45.751   45.760   45.758   45.764  
     2.3     0.017    0.064    0.029   -0.001    0.009    0.008    0.013   -0.005   -0.007   -0.004   45.742   45.737   45.739   45.745   45.744   45.749   45.737   45.753   45.751   45.753  
     8.3     0.079    0.150    0.072    0.017    0.058    0.028    0.061    0.011    0.002    0.011   45.740   45.740   45.737   45.736   45.741   45.745   45.734   45.740   45.744   45.745  
    14.3     0.133    0.261    0.117    0.032    0.102    0.058    0.099    0.030    0.011    0.029   45.744   45.741   45.737   45.738   45.743   45.745   45.735   45.742   45.741   45.743  
    20.3     0.159    0.343    0.173    0.055    0.156    0.088    0.150    0.045    0.020    0.038   45.745   45.739   45.739   45.739   45.745   45.745   45.734   45.740   45.739   45.742  
    26.2     0.209    0.417    0.225    0.077    0.205    0.106    0.192    0.062    0.029    0.054   45.745   45.741   45.740   45.738   45.744   45.745   45.734   45.743   45.740   45.745  
    32.2     0.270    0.499    0.284    0.102    0.267    0.126    0.234    0.069    0.038    0.072   45.745   45.742   45.737   45.738   45.746   45.743   45.736   45.741   45.740   45.744  
    38.2     0.315    0.601    0.316    0.128    0.309    0.148    0.288    0.088    0.051    0.101   45.748   45.742   45.739   45.739   45.746   45.743   45.737   45.741   45.740   45.743  
    44.2     0.371    0.697    0.364    0.151    0.343    0.181    0.337    0.103    0.057    0.107   45.744   45.738   45.740   45.741   45.744   45.741   45.736   45.743   45.740   45.741  
    50.2     0.415    0.815    0.404    0.173    0.381    0.200    0.380    0.128    0.070    0.132   45.751   45.740   45.739   45.740   45.747   45.745   45.738   45.743   45.740   45.743  
    56.1     0.459    0.821    0.427    0.205    0.408    0.226    0.423    0.154    0.080    0.144   45.750   45.740   45.738   45.739   45.748   45.747   45.740   45.745   45.741   45.748  
    62.1     0.580    0.905    0.488    0.207    0.463    0.259    0.503    0.152    0.092    0.175   45.749   45.740   45.737   45.742   45.749   45.748   45.742   45.743   45.742   45.746  
    68.1     0.572    0.992    0.499    0.215    0.456    0.275    0.543    0.160    0.108    0.200   45.749   45.742   45.740   45.741   45.749   45.749   45.741   45.744   45.743   45.747  
    74.1     0.687    1.132    0.538    0.271    0.559    0.338    0.585    0.174    0.124    0.197   45.750   45.744   45.742   45.742   45.748   45.749   45.742   45.744   45.741   45.747  
    80.1     0.679    1.194    0.553    0.301    0.640    0.392    0.613    0.218    0.139    0.220   45.748   45.746   45.743   45.742   45.748   45.747   45.744   45.741   45.743   45.747  
    86.0     0.744    1.234    0.580    0.346    0.717    0.447    0.689    0.255    0.160    0.218   45.746   45.742   45.742   45.739   45.746   45.746   45.738   45.738   45.741   45.743  
