Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -338.5    -0.793   -0.713   -0.901   -1.811   -2.523   -0.033   -0.047   -0.048   -0.107   -0.125   45.752   45.746   45.744   45.738   45.742   45.746   45.743   45.752   45.742   45.749  
  -332.6    -0.783   -0.709   -0.893   -1.773   -2.989   -0.033   -0.047   -0.049   -0.109   -0.137   45.753   45.747   45.745   45.740   45.743   45.746   45.745   45.752   45.742   45.748  
  -326.6    -0.756   -0.682   -0.848   -1.693   -2.811   -0.032   -0.047   -0.046   -0.109   -0.102   45.753   45.748   45.746   45.740   45.745   45.747   45.749   45.757   45.743   45.752  
  -320.6    -0.716   -0.586   -0.901   -1.555   -2.712   -0.032   -0.056   -0.045   -0.105   -0.110   45.754   45.748   45.745   45.740   45.744   45.750   45.746   45.755   45.742   45.751  
  -314.6    -0.693   -0.580   -0.813   -1.447   -2.499   -0.031   -0.057   -0.043   -0.097   -0.107   45.756   45.747   45.746   45.743   45.741   45.753   45.749   45.753   45.744   45.749  
  -308.6    -0.642   -0.566   -0.737   -1.273   -2.405   -0.031   -0.050   -0.043   -0.095   -0.102   45.756   45.749   45.747   45.740   45.740   45.753   45.749   45.756   45.745   45.750  
  -302.7    -0.551   -0.528   -0.720   -1.230   -2.486   -0.032   -0.041   -0.043   -0.092   -0.113   45.759   45.749   45.746   45.740   45.743   45.753   45.747   45.756   45.745   45.754  
  -296.7    -0.535   -0.517   -0.702   -1.088   -2.447   -0.031   -0.038   -0.040   -0.085   -0.121   45.755   45.748   45.745   45.740   45.737   45.750   45.746   45.757   45.745   45.753  
  -290.7    -0.531   -0.541   -0.617   -1.156   -2.180   -0.032   -0.040   -0.038   -0.081   -0.106   45.756   45.745   45.744   45.739   45.741   45.751   45.749   45.756   45.747   45.751  
  -284.7    -0.533   -0.501   -0.581   -1.079   -2.097   -0.031   -0.039   -0.038   -0.079   -0.097   45.755   45.747   45.745   45.743   45.743   45.752   45.749   45.755   45.747   45.752  
  -278.7    -0.509   -0.489   -0.560   -1.011   -2.129   -0.030   -0.038   -0.037   -0.069   -0.097   45.755   45.745   45.747   45.745   45.746   45.750   45.746   45.749   45.744   45.749  
  -272.8    -0.476   -0.458   -0.568   -0.959   -2.071   -0.030   -0.038   -0.038   -0.064   -0.093   45.755   45.747   45.747   45.745   45.744   45.753   45.750   45.754   45.746   45.756  
  -266.8    -0.438   -0.447   -0.508   -0.947   -2.209   -0.030   -0.034   -0.036   -0.066   -0.086   45.757   45.748   45.747   45.741   45.746   45.750   45.751   45.755   45.747   45.754  
  -260.8    -0.446   -0.420   -0.523   -0.878   -1.968   -0.030   -0.034   -0.037   -0.068   -0.092   45.758   45.748   45.749   45.744   45.747   45.750   45.754   45.753   45.749   45.753  
  -254.8    -0.400   -0.400   -0.483   -0.785   -1.793   -0.028   -0.034   -0.036   -0.069   -0.088   45.754   45.746   45.741   45.741   45.744   45.750   45.749   45.748   45.742   45.748  
  -248.8    -0.370   -0.375   -0.437   -0.737   -1.816   -0.028   -0.035   -0.038   -0.071   -0.089   45.756   45.757   45.741   45.744   45.744   45.754   45.749   45.748   45.745   45.749  
  -242.9    -0.338   -0.346   -0.430   -0.691   -1.648   -0.026   -0.034   -0.036   -0.086   -0.082   45.751   45.757   45.745   45.744   45.748   45.750   45.750   45.748   45.746   45.751  
  -236.9    -0.326   -0.356   -0.394   -0.652   -1.603   -0.028   -0.034   -0.035   -0.088   -0.079   45.750   45.758   45.745   45.742   45.746   45.751   45.752   45.749   45.745   45.753  
