x-axis,1,2
second,Volt,Volt
-49.40000E-03,,
-49.35000E-03,-12.58480E-03,-30.07224E-03
-49.30000E-03,-81.12751E-03,-30.07224E-03
-49.25000E-03,-162.23304E-03,-30.07224E-03
-49.20000E-03,-247.96169E-03,-30.07224E-03
-49.15000E-03,-337.20792E-03,-30.07224E-03
-49.10000E-03,-415.59988E-03,-30.07224E-03
-49.05000E-03,-497.00691E-03,-30.07224E-03
-49.00000E-03,-571.78078E-03,-29.56972E-03
-48.95000E-03,-665.85114E-03,-28.46419E-03
-48.90000E-03,-748.26319E-03,-30.07224E-03
-48.85000E-03,-826.25315E-03,-30.07224E-03
-48.80000E-03,-912.18280E-03,-27.96168E-03
-48.75000E-03,-997.40892E-03,-30.07223E-03
-48.70000E-03,-1.06655464E+00,-30.07224E-03
-48.65000E-03,-1.15258480E+00,-27.55967E-03
-48.60000E-03,-1.23781094E+00,-30.07224E-03
-48.55000E-03,-1.31781093E+00,-29.16771E-03
-48.50000E-03,-1.39590140E+00,-27.55967E-03
-48.45000E-03,-1.47801194E+00,-29.97173E-03
-48.40000E-03,-1.55650439E+00,-30.07224E-03
-48.35000E-03,-1.63399186E+00,-29.36872E-03
-48.30000E-03,-1.70434359E+00,-27.55967E-03
-48.25000E-03,-1.77982098E+00,-27.55967E-03
-48.20000E-03,-1.84695669E+00,-28.16269E-03
-48.15000E-03,-1.92554962E+00,-27.55967E-03
-48.10000E-03,-1.99871545E+00,-27.55967E-03
-48.05000E-03,-2.06655463E+00,-27.55967E-03
-48.00000E-03,-2.12655464E+00,-27.55967E-03
-47.95000E-03,-2.19439386E+00,-27.55967E-03
-47.90000E-03,-2.27479585E+00,-27.55967E-03
-47.85000E-03,-2.33338882E+00,-27.55967E-03
-47.80000E-03,-2.40343909E+00,-27.55967E-03
-47.75000E-03,-2.47479588E+00,-27.05717E-03
-47.70000E-03,-2.53700693E+00,-25.04711E-03
-47.65000E-03,-2.58494662E+00,-25.04711E-03
-47.60000E-03,-2.64705718E+00,-26.75565E-03
-47.55000E-03,-2.70323810E+00,-25.04711E-03
-47.50000E-03,-2.75871549E+00,-25.04711E-03
-47.45000E-03,-2.82454460E+00,-25.04711E-03
-47.40000E-03,-2.88223308E+00,-25.04711E-03
-47.35000E-03,-2.93760996E+00,-25.04711E-03
-47.30000E-03,-2.98484607E+00,-25.95164E-03
-47.25000E-03,-3.04414258E+00,-25.04711E-03
-47.20000E-03,-3.08102702E+00,-25.04711E-03
-47.15000E-03,-3.13791146E+00,-25.04711E-03
