x-axis,1,2
second,Volt,Volt
-44.40000E-03,-3.07157965E+00,-22.33353E-03
-44.35000E-03,-3.01891632E+00,-22.53455E-03
-44.30000E-03,-2.96404201E+00,-21.93155E-03
-44.25000E-03,-2.91198167E+00,-22.53455E-03
-44.20000E-03,-2.85429317E+00,-22.53455E-03
-44.15000E-03,-2.80263488E+00,-22.53455E-03
-44.10000E-03,-2.74303700E+00,-22.53455E-03
-44.05000E-03,-2.67931827E+00,-22.53455E-03
-44.00000E-03,-2.62152930E+00,-22.53455E-03
-43.95000E-03,-2.56565000E+00,-22.53455E-03
-43.90000E-03,-2.50916753E+00,-22.53455E-03
-43.85000E-03,-2.45258457E+00,-22.53455E-03
-43.80000E-03,-2.37690628E+00,-22.13252E-03
-43.75000E-03,-2.30896663E+00,-22.53455E-03
-43.70000E-03,-2.24092627E+00,-22.93654E-03
-43.65000E-03,-2.17559975E+00,-24.24311E-03
-43.60000E-03,-2.10152945E+00,-22.53455E-03
-43.55000E-03,-2.04022277E+00,-22.53455E-03
-43.50000E-03,-1.97429312E+00,-22.53455E-03
-43.45000E-03,-1.88685614E+00,-20.12251E-03
-43.40000E-03,-1.82424290E+00,-22.53455E-03
-43.35000E-03,-1.74856455E+00,-22.53455E-03
-43.30000E-03,-1.67509710E+00,-22.53455E-03
-43.25000E-03,-1.59841380E+00,-22.53455E-03
-43.20000E-03,-1.53157957E+00,-21.93151E-03
-43.15000E-03,-1.43961996E+00,-22.53455E-03
-43.10000E-03,-1.36585096E+00,-22.33356E-03
-43.05000E-03,-1.28926803E+00,-20.62498E-03
-43.00000E-03,-1.20796153E+00,-22.53455E-03
-42.95000E-03,-1.12595140E+00,-22.53455E-03
-42.90000E-03,-1.04092638E+00,-20.72552E-03
-42.85000E-03,-961.02692E-03,-22.53455E-03
-42.80000E-03,-885.04696E-03,-22.53455E-03
-42.75000E-03,-797.40867E-03,-22.53455E-03
-42.70000E-03,-713.18764E-03,-22.53455E-03
-42.65000E-03,-637.20776E-03,-22.53455E-03
-42.60000E-03,-550.57449E-03,-22.53455E-03
-42.55000E-03,-474.09216E-03,-22.53455E-03
-42.50000E-03,-389.36861E-03,-20.02198E-03
-42.45000E-03,-306.75550E-03,-20.02198E-03
-42.40000E-03,-217.40874E-03,-20.02198E-03
-42.35000E-03,-133.79059E-03,-20.02198E-03
-42.30000E-03,-47.76044E-03,-20.02198E-03
-42.25000E-03,+26.20932E-03,-20.02198E-03
-42.20000E-03,+101.78733E-03,-19.92146E-03
-42.15000E-03,+185.50587E-03,-825.94E-06
-42.10000E-03,+247.11383E-03,+34.95298E-03
-42.05000E-03,+311.93786E-03,+82.18914E-03
-42.00000E-03,+371.93792E-03,+132.23941E-03
-41.95000E-03,+422.59128E-03,+178.87269E-03
-41.90000E-03,+484.09880E-03,+235.15405E-03
-41.85000E-03,+544.29973E-03,+288.21931E-03
-41.80000E-03,+593.14393E-03,+334.95296E-03
-41.75000E-03,+651.83752E-03,+389.02343E-03
-41.70000E-03,+708.01830E-03,+444.19921E-03
-41.65000E-03,+762.79212E-03,+494.65145E-03
-41.60000E-03,+814.04855E-03,+545.20433E-03
-41.55000E-03,+868.92285E-03,+600.07863E-03
-41.50000E-03,+919.67662E-03,+648.82233E-03
-41.45000E-03,+977.76715E-03,+704.80230E-03
-41.40000E-03,+1.03012881E+00,+756.25946E-03
-41.35000E-03,+1.08440031E+00,+807.21436E-03
-41.30000E-03,+1.13696300E+00,+857.66650E-03
-41.25000E-03,+1.18098323E+00,+902.08873E-03
-41.20000E-03,+1.23424948E+00,+952.84245E-03
-41.15000E-03,+1.28580725E+00,+1.00610878E+00
-41.10000E-03,+1.33575702E+00,+1.05686255E+00
-41.05000E-03,+1.37917419E+00,+1.09937517E+00
-41.00000E-03,+1.43475200E+00,+1.14831984E+00
-40.95000E-03,+1.48027958E+00,+1.19133486E+00
-40.90000E-03,+1.52590780E+00,+1.24168673E+00
-40.85000E-03,+1.56831979E+00,+1.28188763E+00
-40.80000E-03,+1.61736501E+00,+1.32842029E+00
-40.75000E-03,+1.65887255E+00,+1.36992783E+00
-40.70000E-03,+1.70158617E+00,+1.41324449E+00
-40.65000E-03,+1.74269175E+00,+1.45354600E+00
-40.60000E-03,+1.78651066E+00,+1.49756594E+00
-40.55000E-03,+1.82490270E+00,+1.53344542E+00
-40.50000E-03,+1.86440024E+00,+1.57294296E+00
-40.45000E-03,+1.90651077E+00,+1.61726460E+00
-40.40000E-03,+1.94108377E+00,+1.65033003E+00
-40.35000E-03,+1.97615901E+00,+1.68721429E+00
-40.30000E-03,+2.01716406E+00,+1.72831982E+00
-40.25000E-03,+2.04831981E+00,+1.76138517E+00
-40.20000E-03,+2.08208857E+00,+1.79314385E+00
-40.15000E-03,+2.11776716E+00,+1.82630988E+00
-40.10000E-03,+2.14570672E+00,+1.85676200E+00
-40.05000E-03,+2.17374704E+00,+1.88440028E+00
-40.00000E-03,+2.20862127E+00,+1.91967652E+00
-39.95000E-03,+2.23123427E+00,+1.93977699E+00
-39.90000E-03,+2.26912389E+00,+1.97595804E+00
-39.85000E-03,+2.29776691E+00,+2.00259106E+00
-39.80000E-03,+2.31917397E+00,+2.02178701E+00
-39.75000E-03,+2.34480229E+00,+2.04530477E+00
-39.70000E-03,+2.36259126E+00,+2.06108373E+00
-39.65000E-03,+2.39113386E+00,+2.08962632E+00
-39.60000E-03,+2.41545556E+00,+2.11394802E+00
-39.55000E-03,+2.42580710E+00,+2.12429957E+00
-39.50000E-03,+2.44882218E+00,+2.14731465E+00
-39.45000E-03,+2.46741517E+00,+2.16590764E+00
-39.40000E-03,+2.48731464E+00,+2.18349558E+00
-39.35000E-03,+2.48962629E+00,+2.18580717E+00
-39.30000E-03,+2.50761618E+00,+2.20419907E+00
-39.25000E-03,+2.52771668E+00,+2.22620915E+00
-39.20000E-03,+2.53103336E+00,+2.22701326E+00
-39.15000E-03,+2.55032975E+00,+2.24701320E+00
-39.10000E-03,+2.55032975E+00,+2.24882221E+00
-39.05000E-03,+2.57203858E+00,+2.27043057E+00
-39.00000E-03,+2.57294281E+00,+2.27143528E+00
-38.95000E-03,+2.57133474E+00,+2.26892271E+00
-38.90000E-03,+2.57173675E+00,+2.26771665E+00
-38.85000E-03,+2.58962629E+00,+2.28641025E+00
-38.80000E-03,+2.59555588E+00,+2.29153578E+00
-38.75000E-03,+2.59555588E+00,+2.29153581E+00
-38.70000E-03,+2.59304331E+00,+2.29153578E+00
-38.65000E-03,+2.57535477E+00,+2.27213866E+00
-38.60000E-03,+2.57043025E+00,+2.26892271E+00
-38.55000E-03,+2.57043025E+00,+2.26801816E+00
-38.50000E-03,+2.57093279E+00,+2.26892271E+00
-38.45000E-03,+2.55032975E+00,+2.24872168E+00
-38.40000E-03,+2.55002827E+00,+2.24852074E+00
-38.35000E-03,+2.54600810E+00,+2.24630965E+00
-38.30000E-03,+2.52771668E+00,+2.22510365E+00
-38.25000E-03,+2.52118388E+00,+2.21867129E+00
-38.20000E-03,+2.50259105E+00,+2.20359608E+00
-38.15000E-03,+2.48017903E+00,+2.17867149E+00
-38.10000E-03,+2.47766640E+00,+2.17615886E+00
-38.05000E-03,+2.46178707E+00,+2.16088251E+00
-38.00000E-03,+2.43977698E+00,+2.13826945E+00
-37.95000E-03,+2.41716392E+00,+2.11816895E+00
-37.90000E-03,+2.39706342E+00,+2.09625944E+00
-37.85000E-03,+2.37445035E+00,+2.07545538E+00
-37.80000E-03,+2.35193775E+00,+2.05294278E+00
-37.75000E-03,+2.33173678E+00,+2.03324429E+00
-37.70000E-03,+2.30681205E+00,+2.01032964E+00
-37.65000E-03,+2.28178682E+00,+1.98902304E+00
-37.60000E-03,+2.24721410E+00,+1.95656087E+00
-37.55000E-03,+2.22329454E+00,+1.93223930E+00
-37.50000E-03,+2.19354565E+00,+1.90460089E+00
-37.45000E-03,+2.15877192E+00,+1.86982720E+00
-37.40000E-03,+2.13063115E+00,+1.83917386E+00
-37.35000E-03,+2.09555588E+00,+1.80661116E+00
-37.30000E-03,+2.06319378E+00,+1.77515361E+00
-37.25000E-03,+2.02771669E+00,+1.74078198E+00
-37.20000E-03,+1.98741514E+00,+1.69857096E+00
-37.15000E-03,+1.96048043E+00,+1.67374680E+00
-37.10000E-03,+1.91857088E+00,+1.62781708E+00
-37.05000E-03,+1.88279195E+00,+1.59384723E+00
-37.00000E-03,+1.83826941E+00,+1.54681213E+00
-36.95000E-03,+1.80359589E+00,+1.51465117E+00
-36.90000E-03,+1.76289238E+00,+1.47394766E+00
-36.85000E-03,+1.71485214E+00,+1.42610838E+00
-36.80000E-03,+1.67394765E+00,+1.38560591E+00
-36.75000E-03,+1.63173656E+00,+1.34530440E+00
-36.70000E-03,+1.58721406E+00,+1.29967634E+00
-36.65000E-03,+1.54500297E+00,+1.26037982E+00
-36.60000E-03,+1.49696284E+00,+1.21274170E+00
-36.55000E-03,+1.45022910E+00,+1.16620904E+00
-36.50000E-03,+1.40158588E+00,+1.12017885E+00
-36.45000E-03,+1.35063099E+00,+1.07083204E+00
-36.40000E-03,+1.30570636E+00,+1.02801796E+00
-36.35000E-03,+1.25726435E+00,+978.36988E-03
-36.30000E-03,+1.20872148E+00,+932.33957E-03
-36.25000E-03,+1.15334472E+00,+876.96281E-03
-36.20000E-03,+1.10510343E+00,+829.12349E-03
-36.15000E-03,+1.05264108E+00,+777.96775E-03
