;I_mag;V_gen;X;Y;R;theta;Points
0;13.0;5.0;7.00171e-06;6.98496e-07;7.0371e-06;5.694;12.0
1;13.0;5.0;7.00264e-06;6.98496e-07;7.0371e-06;5.694;12.0
2;13.0;5.0;7.00264e-06;6.97564e-07;7.0371e-06;5.694;12.0
3;13.0;5.0;7.00264e-06;6.97564e-07;7.0371e-06;5.688;12.0
4;13.0;5.0;7.00264e-06;6.96633e-07;7.0371e-06;5.688;12.0
5;13.0;5.0;7.00264e-06;6.96633e-07;7.0371e-06;5.682;12.0
6;13.0;5.0;7.00264e-06;6.96633e-07;7.0371e-06;5.682;12.0
7;13.0;5.0;7.00357e-06;6.95702e-07;7.03803e-06;5.676;12.0
8;13.0;5.0;7.00357e-06;6.95702e-07;7.03803e-06;5.67;12.0
9;13.0;5.0;7.00357e-06;6.9477e-07;7.03803e-06;5.67;12.0
10;13.0;5.0;7.00357e-06;6.93839e-07;7.03803e-06;5.664;12.0
11;13.0;5.0;7.00357e-06;6.93839e-07;7.03803e-06;5.658;12.0
12;13.0;5.0;7.00357e-06;6.93839e-07;7.0371e-06;5.658;12.0
13;13.0;5.0;7.00357e-06;6.92908e-07;7.03803e-06;5.652;12.0
14;13.0;5.0;7.00357e-06;6.91976e-07;7.03803e-06;5.646;12.0
15;13.0;5.0;7.00357e-06;6.91045e-07;7.03803e-06;5.64;12.0
16;13.0;5.0;7.00357e-06;6.91045e-07;7.03803e-06;5.634;12.0
17;13.0;5.0;7.00357e-06;6.91045e-07;7.03897e-06;5.628;12.0
18;13.0;5.0;7.00451e-06;6.90114e-07;7.03897e-06;5.628;12.0
19;13.0;5.0;7.00451e-06;6.89182e-07;7.03897e-06;5.622;12.0
20;13.0;5.0;7.00451e-06;6.89182e-07;7.03897e-06;5.622;12.0
21;13.0;5.0;7.00451e-06;6.88251e-07;7.03897e-06;5.616;12.0
22;13.0;5.0;7.00544e-06;6.88251e-07;7.03897e-06;5.61;12.0
23;13.0;5.0;7.00544e-06;6.8732e-07;7.03897e-06;5.604;12.0
24;13.0;5.0;7.00544e-06;6.86388e-07;7.03897e-06;5.604;12.0
25;13.0;5.0;7.00544e-06;6.86388e-07;7.03897e-06;5.598;12.0
26;13.0;5.0;7.00544e-06;6.86388e-07;7.03897e-06;5.592;12.0
27;13.0;5.0;7.00544e-06;6.85457e-07;7.0399e-06;5.592;12.0
28;13.0;5.0;7.00637e-06;6.84526e-07;7.0399e-06;5.586;12.0
29;13.0;5.0;7.00637e-06;6.84526e-07;7.04083e-06;5.586;12.0
30;13.0;5.0;7.0073e-06;6.84526e-07;7.04083e-06;5.58;12.0
31;13.0;5.0;7.00823e-06;6.84526e-07;7.04083e-06;5.574;12.0
32;13.0;5.0;7.00823e-06;6.83594e-07;7.04083e-06;5.574;12.0
33;13.0;5.0;7.00823e-06;6.82663e-07;7.04176e-06;5.568;12.0
34;13.0;5.0;7.00823e-06;6.82663e-07;7.04176e-06;5.568;12.0
35;13.0;5.0;7.00916e-06;6.81732e-07;7.04269e-06;5.562;12.0
