;I_mag;V_gen;X;Y;R;theta;Points
0;7.0;5.0;7.35934e-06;6.61243e-07;7.38914e-06;5.142;12.0
1;7.0;5.0;7.35934e-06;6.62174e-07;7.38914e-06;5.148;12.0
2;7.0;5.0;7.35934e-06;6.62174e-07;7.38914e-06;5.148;12.0
3;7.0;5.0;7.35934e-06;6.63105e-07;7.38914e-06;5.154;12.0
4;7.0;5.0;7.35934e-06;6.63105e-07;7.38914e-06;5.16;12.0
5;7.0;5.0;7.35934e-06;6.64037e-07;7.38914e-06;5.166;12.0
6;7.0;5.0;7.35934e-06;6.64968e-07;7.38914e-06;5.172;12.0
7;7.0;5.0;7.35934e-06;6.65899e-07;7.38914e-06;5.178;12.0
8;7.0;5.0;7.35934e-06;6.65899e-07;7.38914e-06;5.184;12.0
9;7.0;5.0;7.35934e-06;6.67762e-07;7.38914e-06;5.184;12.0
10;7.0;5.0;7.35934e-06;6.67762e-07;7.38914e-06;5.196;12.0
11;7.0;5.0;7.35934e-06;6.68693e-07;7.39007e-06;5.202;12.0
12;7.0;5.0;7.36027e-06;6.70556e-07;7.39007e-06;5.208;12.0
13;7.0;5.0;7.36027e-06;6.70556e-07;7.39007e-06;5.214;12.0
14;7.0;5.0;7.36027e-06;6.72419e-07;7.39007e-06;5.22;12.0
15;7.0;5.0;7.36027e-06;6.72419e-07;7.39007e-06;5.232;12.0
16;7.0;5.0;7.36027e-06;6.74281e-07;7.39007e-06;5.238;12.0
17;7.0;5.0;7.36027e-06;6.75213e-07;7.39007e-06;5.25;12.0
18;7.0;5.0;7.36027e-06;6.76144e-07;7.39101e-06;5.256;12.0
19;7.0;5.0;7.36027e-06;6.77075e-07;7.39101e-06;5.262;12.0
20;7.0;5.0;7.36027e-06;6.78006e-07;7.39101e-06;5.274;12.0
21;7.0;5.0;7.36027e-06;6.78938e-07;7.39101e-06;5.28;12.0
22;7.0;5.0;7.36027e-06;6.79869e-07;7.39101e-06;5.286;12.0
23;7.0;5.0;7.36027e-06;6.808e-07;7.39101e-06;5.292;12.0
24;7.0;5.0;7.36027e-06;6.81732e-07;7.39101e-06;5.298;12.0
25;7.0;5.0;7.36027e-06;6.82663e-07;7.39101e-06;5.304;12.0
26;7.0;5.0;7.36027e-06;6.83594e-07;7.39194e-06;5.31;12.0
27;7.0;5.0;7.36027e-06;6.84526e-07;7.39194e-06;5.322;12.0
28;7.0;5.0;7.36027e-06;6.84526e-07;7.39194e-06;5.328;12.0
29;7.0;5.0;7.36027e-06;6.85457e-07;7.39194e-06;5.328;12.0
30;7.0;5.0;7.36027e-06;6.86388e-07;7.39194e-06;5.334;12.0
31;7.0;5.0;7.36027e-06;6.8732e-07;7.39194e-06;5.346;12.0
32;7.0;5.0;7.36027e-06;6.88251e-07;7.39194e-06;5.352;12.0
33;7.0;5.0;7.36027e-06;6.89182e-07;7.39194e-06;5.358;12.0
34;7.0;5.0;7.36027e-06;6.89182e-07;7.39194e-06;5.358;12.0
35;7.0;5.0;7.36027e-06;6.91045e-07;7.39287e-06;5.364;12.0
