;I_mag;V_gen;X;Y;R;theta;Points
0;3.0;5.0;7.74028e-06;7.16191e-07;7.77288e-06;5.292;12.0
1;3.0;5.0;7.74028e-06;7.16191e-07;7.77288e-06;5.292;12.0
2;3.0;5.0;7.73935e-06;7.16191e-07;7.77288e-06;5.286;12.0
3;3.0;5.0;7.73935e-06;7.15259e-07;7.77288e-06;5.286;12.0
4;3.0;5.0;7.73935e-06;7.15259e-07;7.77288e-06;5.286;12.0
5;3.0;5.0;7.73935e-06;7.15259e-07;7.77288e-06;5.286;12.0
6;3.0;5.0;7.73935e-06;7.15259e-07;7.77288e-06;5.286;12.0
7;3.0;5.0;7.73935e-06;7.15259e-07;7.77288e-06;5.286;12.0
8;3.0;5.0;7.73935e-06;7.15259e-07;7.77195e-06;5.286;12.0
9;3.0;5.0;7.73842e-06;7.15259e-07;7.77195e-06;5.286;12.0
10;3.0;5.0;7.73842e-06;7.15259e-07;7.77195e-06;5.286;12.0
11;3.0;5.0;7.73842e-06;7.15259e-07;7.77101e-06;5.28;12.0
12;3.0;5.0;7.73842e-06;7.15259e-07;7.77101e-06;5.28;12.0
13;3.0;5.0;7.73842e-06;7.15259e-07;7.77101e-06;5.28;12.0
14;3.0;5.0;7.73842e-06;7.14328e-07;7.77101e-06;5.274;12.0
15;3.0;5.0;7.73842e-06;7.14328e-07;7.77195e-06;5.274;12.0
16;3.0;5.0;7.73935e-06;7.14328e-07;7.77195e-06;5.274;12.0
17;3.0;5.0;7.73935e-06;7.13397e-07;7.77195e-06;5.274;12.0
18;3.0;5.0;7.73935e-06;7.13397e-07;7.77195e-06;5.274;12.0
19;3.0;5.0;7.73935e-06;7.13397e-07;7.77195e-06;5.268;12.0
20;3.0;5.0;7.73935e-06;7.12465e-07;7.77195e-06;5.268;12.0
21;3.0;5.0;7.74028e-06;7.12465e-07;7.77288e-06;5.268;12.0
22;3.0;5.0;7.74028e-06;7.12465e-07;7.77288e-06;5.262;12.0
23;3.0;5.0;7.74028e-06;7.12465e-07;7.77288e-06;5.262;12.0
24;3.0;5.0;7.74028e-06;7.11534e-07;7.77288e-06;5.256;12.0
25;3.0;5.0;7.74028e-06;7.11534e-07;7.77288e-06;5.25;12.0
26;3.0;5.0;7.74028e-06;7.10603e-07;7.77288e-06;5.25;12.0
27;3.0;5.0;7.74028e-06;7.10603e-07;7.77288e-06;5.244;12.0
28;3.0;5.0;7.74028e-06;7.10603e-07;7.77288e-06;5.244;12.0
29;3.0;5.0;7.74028e-06;7.09671e-07;7.77288e-06;5.238;12.0
30;3.0;5.0;7.74121e-06;7.0874e-07;7.77381e-06;5.238;12.0
31;3.0;5.0;7.74121e-06;7.07809e-07;7.77381e-06;5.232;12.0
32;3.0;5.0;7.74121e-06;7.07809e-07;7.77288e-06;5.226;12.0
33;3.0;5.0;7.74121e-06;7.07809e-07;7.77288e-06;5.22;12.0
34;3.0;5.0;7.74121e-06;7.06877e-07;7.77288e-06;5.214;12.0
35;3.0;5.0;7.74121e-06;7.05946e-07;7.77288e-06;5.208;12.0
