Wed Jun 09 18:45:24 2021

21.06.02-03_007.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -150; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.8,10.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -338.5    -6.795   -3.082   -8.793   -7.139   -8.710   -0.180   -0.063   -0.239   -0.184   -0.182   45.750   45.750   45.764   45.760   45.759   45.764   45.767   45.762   45.755   45.759  
  -332.6    -6.227   -2.974   -8.114   -6.259   -8.288   -0.139   -0.050   -0.229   -0.184   -0.188   45.753   45.752   45.768   45.765   45.759   45.763   45.768   45.763   45.752   45.760  
  -326.6    -5.994   -2.654   -7.416   -6.163   -8.035   -0.120   -0.052   -0.231   -0.181   -0.194   45.753   45.751   45.767   45.765   45.759   45.762   45.770   45.766   45.755   45.764  
  -320.6    -5.957   -2.694   -6.607   -5.388   -7.089   -0.145   -0.054   -0.231   -0.176   -0.209   45.752   45.749   45.768   45.762   45.755   45.755   45.770   45.763   45.753   45.762  
  -314.6    -6.135   -2.482   -6.784   -5.098   -5.932   -0.139   -0.061   -0.220   -0.163   -0.205   45.755   45.749   45.772   45.762   45.758   45.755   45.772   45.764   45.750   45.765  
  -308.6    -5.588   -2.275   -6.172   -5.499   -5.936   -0.134   -0.057   -0.213   -0.151   -0.192   45.755   45.751   45.772   45.762   45.759   45.756   45.771   45.766   45.753   45.764  
  -302.7    -5.291   -2.265   -5.714   -5.242   -5.881   -0.122   -0.058   -0.209   -0.157   -0.174   45.755   45.751   45.771   45.764   45.762   45.757   45.769   45.767   45.752   45.767  
  -296.7    -5.218   -2.356   -5.958   -4.873   -5.993   -0.120   -0.056   -0.195   -0.163   -0.170   45.751   45.749   45.768   45.761   45.761   45.755   45.765   45.764   45.752   45.764  
  -290.7    -4.772   -1.939   -6.166   -4.958   -5.093   -0.116   -0.056   -0.183   -0.148   -0.173   45.754   45.749   45.768   45.761   45.757   45.758   45.760   45.764   45.751   45.766  
  -284.7    -4.591   -1.943   -6.718   -5.053   -5.270   -0.124   -0.051   -0.202   -0.147   -0.163   45.754   45.752   45.771   45.763   45.758   45.758   45.761   45.768   45.753   45.763  
  -278.7    -4.487   -1.774   -6.241   -4.511   -5.548   -0.133   -0.054   -0.188   -0.147   -0.186   45.752   45.753   45.771   45.761   45.760   45.754   45.761   45.766   45.754   45.766  
  -272.8    -4.280   -1.789   -6.259   -4.546   -4.607   -0.128   -0.054   -0.190   -0.144   -0.171   45.755   45.751   45.771   45.758   45.762   45.754   45.761   45.768   45.754   45.764  
  -266.8    -4.067   -1.454   -5.431   -4.292   -3.950   -0.124   -0.044   -0.190   -0.137   -0.169   45.755   45.754   45.770   45.760   45.762   45.757   45.765   45.772   45.756   45.764  
  -260.8    -4.062   -1.283   -5.020   -3.802   -4.044   -0.116   -0.055   -0.183   -0.134   -0.148   45.754   45.750   45.768   45.763   45.761   45.758   45.763   45.771   45.754   45.763  
  -254.8    -3.963   -1.194   -4.750   -4.176   -3.735   -0.110   -0.053   -0.172   -0.124   -0.143   45.748   45.743   45.763   45.756   45.757   45.754   45.758   45.769   45.750   45.760  
  -248.8    -3.587   -1.151   -4.460   -4.250   -4.059   -0.112   -0.056   -0.181   -0.121   -0.146   45.749   45.747   45.765   45.760   45.757   45.757   45.758   45.770   45.752   45.764  
  -242.9    -3.431   -1.148   -3.914   -4.279   -3.977   -0.145   -0.053   -0.179   -0.115   -0.138   45.752   45.751   45.766   45.760   45.757   45.758   45.761   45.772   45.754   45.764  
  -236.9    -3.312   -1.062   -4.168   -3.827   -3.674   -0.189   -0.050   -0.171   -0.112   -0.131   45.751   45.750   45.763   45.758   45.758   45.753   45.759   45.764   45.755   45.762  
  -230.9    -3.093   -1.038   -4.145   -4.259   -3.219   -0.198   -0.050   -0.152   -0.112   -0.132   45.750   45.749   45.766   45.758   45.755   45.753   45.759   45.764   45.755   45.765  
  -224.9    -2.929   -1.092   -3.625   -3.623   -3.194   -0.181   -0.051   -0.147   -0.105   -0.150   45.755   45.750   45.771   45.762   45.761   45.757   45.764   45.770   45.756   45.765  
  -218.9    -2.714   -1.071   -3.366   -3.501   -2.871   -0.193   -0.052   -0.149   -0.108   -0.144   45.756   45.750   45.772   45.764   45.763   45.757   45.765   45.774   45.756   45.768  
  -213.0    -2.630   -1.004   -3.175   -3.223   -2.387   -0.206   -0.053   -0.147   -0.114   -0.144   45.751   45.749   45.768   45.758   45.759   45.756   45.760   45.769   45.755   45.762  
  -207.0    -2.569   -0.791   -2.959   -3.146   -2.670   -0.187   -0.056   -0.134   -0.117   -0.160   45.751   45.752   45.771   45.760   45.763   45.755   45.761   45.769   45.756   45.763  
  -201.0    -2.372   -0.821   -2.484   -2.835   -2.314   -0.170   -0.053   -0.125   -0.117   -0.154   45.751   45.752   45.768   45.760   45.764   45.753   45.763   45.768   45.755   45.762  
  -195.0    -2.149   -0.700   -2.083   -3.081   -2.186   -0.171   -0.049   -0.113   -0.113   -0.149   45.753   45.752   45.768   45.757   45.765   45.753   45.763   45.769   45.753   45.759  
  -189.0    -2.022   -0.706   -2.259   -3.045   -2.050   -0.178   -0.046   -0.109   -0.101   -0.137   45.753   45.753   45.773   45.759   45.767   45.754   45.764   45.770   45.757   45.757  
  -183.1    -1.908   -0.695   -2.008   -2.907   -2.035   -0.169   -0.045   -0.114   -0.100   -0.144   45.752   45.752   45.764   45.761   45.767   45.756   45.764   45.770   45.759   45.758  
  -177.1    -1.816   -0.565   -1.927   -2.951   -1.849   -0.157   -0.040   -0.106   -0.098   -0.136   45.753   45.755   45.767   45.766   45.766   45.757   45.767   45.774   45.765   45.762  
  -171.1    -1.696   -0.589   -1.745   -2.666   -1.829   -0.159   -0.044   -0.101   -0.097   -0.124   45.748   45.750   45.762   45.753   45.762   45.750   45.761   45.768   45.760   45.756  
  -165.1    -1.569   -0.575   -1.606   -2.524   -1.747   -0.148   -0.039   -0.097   -0.093   -0.118   45.749   45.749   45.764   45.757   45.761   45.749   45.759   45.768   45.762   45.758  
  -159.1    -1.476   -0.514   -1.512   -2.188   -1.587   -0.153   -0.039   -0.099   -0.092   -0.114   45.755   45.748   45.763   45.759   45.766   45.751   45.763   45.770   45.762   45.758  
  -153.2    -1.466   -0.487   -1.270   -1.998   -1.594   -0.143   -0.040   -0.096   -0.083   -0.109   45.754   45.750   45.765   45.761   45.767   45.753   45.767   45.772   45.766   45.758  
  -147.2    -1.281   -0.474   -1.178   -1.839   -1.423   -0.138   -0.034   -0.089   -0.081   -0.110   45.750   45.751   45.764   45.762   45.769   45.752   45.768   45.770   45.764   45.756  
  -141.2    -1.238   -0.387   -1.016   -1.933   -1.230   -0.133   -0.034   -0.086   -0.082   -0.104   45.747   45.753   45.769   45.752   45.768   45.755   45.769   45.771   45.767   45.761  
  -135.2    -1.163   -0.330   -1.073   -1.714   -1.278   -0.128   -0.033   -0.084   -0.078   -0.096   45.750   45.754   45.769   45.749   45.767   45.757   45.768   45.771   45.768   45.761  
  -129.2    -1.061   -0.325   -0.938   -1.547   -1.215   -0.122   -0.031   -0.073   -0.072   -0.104   45.751   45.752   45.764   45.750   45.763   45.757   45.768   45.768   45.766   45.759  
  -123.3    -0.977   -0.320   -0.991   -1.501   -1.085   -0.118   -0.031   -0.073   -0.070   -0.099   45.753   45.753   45.764   45.749   45.763   45.758   45.774   45.773   45.765   45.760  
  -117.3    -0.902   -0.266   -0.824   -1.503   -1.069   -0.108   -0.030   -0.066   -0.068   -0.096   45.755   45.756   45.766   45.749   45.766   45.761   45.771   45.773   45.765   45.764  
  -111.3    -0.810   -0.250   -0.776   -1.278   -1.080   -0.097   -0.031   -0.062   -0.065   -0.091   45.756   45.751   45.766   45.750   45.764   45.760   45.772   45.772   45.769   45.762  
  -105.3    -0.859   -0.222   -0.683   -1.130   -1.016   -0.103   -0.028   -0.057   -0.061   -0.077   45.755   45.755   45.766   45.750   45.766   45.758   45.766   45.771   45.770   45.761  
   -99.3    -0.709   -0.204   -0.551   -1.057   -0.849   -0.098   -0.028   -0.056   -0.060   -0.080   45.758   45.754   45.765   45.749   45.760   45.763   45.766   45.768   45.769   45.759  
   -93.4    -0.602   -0.199   -0.502   -1.064   -0.858   -0.089   -0.027   -0.057   -0.058   -0.078   45.756   45.754   45.766   45.751   45.757   45.766   45.768   45.766   45.770   45.760  
   -87.4    -0.556   -0.175   -0.462   -0.861   -0.789   -0.084   -0.027   -0.055   -0.054   -0.079   45.753   45.754   45.761   45.751   45.753   45.759   45.766   45.764   45.764   45.757  
