Wed Jun 09 18:32:34 2021

21.06.02-03_007.top image. S02

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -100; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (10.7,9.0)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0   -10.700  -10.700  -10.700  -10.700  -10.700   -0.183   -0.102   -0.241   -0.121   -0.345   45.735   45.741   45.735   45.739   45.742   45.747   45.746   45.747   45.748   45.751  
  -494.0   -10.700  -10.566  -10.700  -10.700  -10.700   -0.179   -0.099   -0.238   -0.126   -0.346   45.735   45.744   45.733   45.735   45.743   45.750   45.745   45.747   45.752   45.752  
  -488.0   -10.700  -10.650  -10.700  -10.700  -10.700   -0.168   -0.100   -0.241   -0.132   -0.324   45.735   45.741   45.732   45.735   45.741   45.749   45.745   45.748   45.749   45.751  
  -482.1   -10.683  -10.693  -10.700  -10.700  -10.700   -0.171   -0.103   -0.250   -0.129   -0.275   45.740   45.741   45.734   45.736   45.743   45.751   45.747   45.748   45.752   45.751  
  -476.1   -10.625  -10.696  -10.700  -10.700  -10.700   -0.163   -0.102   -0.231   -0.131   -0.268   45.743   45.740   45.739   45.739   45.747   45.750   45.749   45.750   45.754   45.755  
  -470.1   -10.578  -10.680  -10.700  -10.700  -10.700   -0.157   -0.116   -0.230   -0.138   -0.306   45.739   45.745   45.736   45.741   45.747   45.752   45.747   45.750   45.751   45.750  
  -464.1   -10.306  -10.664  -10.700  -10.700  -10.700   -0.158   -0.116   -0.227   -0.140   -0.321   45.740   45.745   45.738   45.742   45.746   45.749   45.750   45.748   45.752   45.751  
  -458.1   -10.281  -10.297  -10.700  -10.688  -10.700   -0.156   -0.118   -0.229   -0.130   -0.296   45.740   45.744   45.738   45.744   45.743   45.749   45.752   45.752   45.752   45.752  
  -452.2   -10.109  -10.539  -10.700  -10.652  -10.700   -0.160   -0.114   -0.225   -0.126   -0.301   45.742   45.747   45.739   45.748   45.745   45.748   45.750   45.754   45.752   45.749  
