Wed Jun 09 18:53:13 2021

21.06.02-03_007.top image. S04

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -200; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (13.9,9.4)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   

  -500.0   -10.133  -10.700   -7.307  -10.700   -9.600   -0.200   -0.613   -0.134   -0.307   -0.480   45.744   45.744   45.750   45.742   45.748   45.745   45.748   45.748   45.749   45.745  
  -494.0    -9.609  -10.700   -6.652  -10.700   -9.967   -0.192   -0.615   -0.134   -0.275   -0.345   45.744   45.741   45.750   45.743   45.746   45.748   45.754   45.746   45.750   45.748  
  -488.0    -9.007  -10.700   -6.779  -10.700   -9.533   -0.192   -0.587   -0.136   -0.279   -0.565   45.744   45.739   45.748   45.743   45.745   45.748   45.753   45.749   45.749   45.745  
  -482.1    -9.153  -10.700   -6.163  -10.700   -9.080   -0.194   -0.566   -0.125   -0.271   -0.574   45.745   45.741   45.750   45.747   45.748   45.748   45.755   45.751   45.750   45.744  
  -476.1    -8.886  -10.700   -5.843  -10.699   -9.523   -0.183   -0.580   -0.123   -0.246   -0.578   45.745   45.745   45.754   45.748   45.751   45.745   45.757   45.750   45.753   45.746  
  -470.1    -8.727  -10.700   -5.959  -10.700   -9.486   -0.193   -0.591   -0.125   -0.292   -0.554   45.747   45.742   45.752   45.752   45.749   45.745   45.755   45.747   45.750   45.745  
  -464.1    -8.454  -10.700   -5.591  -10.700   -8.076   -0.181   -0.584   -0.116   -0.270   -0.612   45.744   45.744   45.751   45.749   45.750   45.750   45.755   45.747   45.753   45.745  
  -458.1    -8.267  -10.700   -5.675  -10.699   -7.886   -0.179   -0.597   -0.117   -0.248   -0.549   45.744   45.745   45.754   45.748   45.748   45.751   45.755   45.749   45.752   45.746  
  -452.2    -7.818  -10.700   -5.722  -10.642   -7.617   -0.176   -0.609   -0.107   -0.233   -0.564   45.746   45.750   45.758   45.753   45.748   45.751   45.758   45.750   45.753   45.746  
  -446.2    -7.632  -10.700   -5.330  -10.584   -6.823   -0.171   -0.618   -0.108   -0.254   -0.556   45.743   45.747   45.751   45.749   45.746   45.749   45.756   45.748   45.755   45.747  
  -440.2    -7.437  -10.700   -5.098   -9.187   -6.461   -0.165   -0.585   -0.108   -0.265   -0.566   45.745   45.751   45.752   45.753   45.748   45.748   45.753   45.751   45.755   45.747  
  -434.2    -7.141  -10.700   -5.254   -9.196   -6.854   -0.183   -0.563   -0.103   -0.227   -0.525   45.746   45.751   45.753   45.751   45.751   45.752   45.753   45.754   45.756   45.751  
  -428.2    -6.818  -10.700   -5.422   -8.719   -6.078   -0.179   -0.532   -0.105   -0.248   -0.499   45.744   45.749   45.746   45.749   45.748   45.749   45.750   45.749   45.752   45.745  
  -422.3    -6.439  -10.667   -4.950   -8.653   -5.690   -0.173   -0.552   -0.103   -0.244   -0.476   45.739   45.749   45.741   45.747   45.747   45.753   45.751   45.747   45.750   45.745  
  -416.3    -5.702  -10.489   -4.808   -7.778   -6.029   -0.163   -0.540   -0.101   -0.237   -0.508   45.741   45.748   45.742   45.749   45.748   45.750   45.751   45.750   45.755   45.745  
  -410.3    -5.666  -10.467   -4.256   -7.139   -5.384   -0.161   -0.545   -0.100   -0.238   -0.469   45.745   45.750   45.741   45.750   45.751   45.752   45.752   45.751   45.758   45.747  
  -404.3    -5.455  -10.135   -4.276   -7.159   -5.342   -0.135   -0.497   -0.099   -0.219   -0.430   45.741   45.748   45.740   45.748   45.748   45.749   45.751   45.749   45.758   45.747  
  -398.3    -5.240   -9.734   -3.929   -7.556   -5.117   -0.138   -0.486   -0.092   -0.210   -0.327   45.742   45.750   45.741   45.749   45.747   45.750   45.753   45.752   45.758   45.748  
  -392.4    -5.233   -9.490   -3.911   -7.724   -4.850   -0.142   -0.495   -0.090   -0.217   -0.341   45.744   45.751   45.740   45.751   45.748   45.750   45.756   45.756   45.758   45.748  
  -386.4    -5.036   -8.875   -4.090   -7.286   -5.064   -0.139   -0.513   -0.089   -0.216   -0.321   45.743   45.753   45.741   45.748   45.748   45.751   45.757   45.754   45.760   45.747  
  -380.4    -4.936   -8.084   -4.022   -7.038   -5.038   -0.141   -0.491   -0.088   -0.224   -0.299   45.745   45.750   45.742   45.749   45.745   45.750   45.756   45.750   45.758   45.745  
  -374.4    -4.473   -7.937   -3.735   -6.285   -4.504   -0.129   -0.457   -0.088   -0.216   -0.295   45.744   45.751   45.744   45.752   45.746   45.755   45.756   45.752   45.760   45.749  
  -368.4    -4.344   -7.618   -3.920   -6.248   -3.958   -0.124   -0.445   -0.091   -0.216   -0.265   45.744   45.750   45.745   45.754   45.747   45.756   45.758   45.753   45.762   45.748  
  -362.5    -4.209   -7.219   -3.599   -5.886   -4.390   -0.131   -0.437   -0.089   -0.224   -0.250   45.744   45.750   45.742   45.752   45.747   45.757   45.756   45.751   45.761   45.748  
  -356.5    -3.958   -6.703   -2.741   -5.663   -4.678   -0.123   -0.438   -0.089   -0.250   -0.264   45.744   45.751   45.747   45.753   45.747   45.753   45.757   45.753   45.760   45.748  
  -350.5    -4.196   -6.784   -2.770   -5.792   -4.272   -0.119   -0.426   -0.090   -0.242   -0.268   45.746   45.752   45.746   45.754   45.747   45.755   45.760   45.752   45.760   45.750  
  -344.5    -4.057   -6.870   -2.740   -5.865   -4.010   -0.121   -0.406   -0.086   -0.184   -0.275   45.747   45.751   45.744   45.753   45.744   45.756   45.758   45.752   45.758   45.748  
  -338.5    -3.602   -6.705   -2.179   -5.859   -3.699   -0.123   -0.401   -0.080   -0.176   -0.255   45.740   45.748   45.738   45.748   45.743   45.751   45.755   45.749   45.753   45.745  
  -332.6    -3.694   -6.821   -2.267   -5.688   -3.722   -0.111   -0.396   -0.083   -0.174   -0.231   45.741   45.747   45.738   45.750   45.745   45.750   45.757   45.750   45.754   45.747  
  -326.6    -3.478   -6.116   -2.362   -5.256   -3.990   -0.099   -0.381   -0.084   -0.161   -0.224   45.741   45.747   45.741   45.751   45.744   45.753   45.758   45.751   45.753   45.747  
  -320.6    -3.222   -6.057   -2.014   -4.759   -3.986   -0.101   -0.384   -0.084   -0.159   -0.225   45.741   45.750   45.740   45.748   45.748   45.752   45.757   45.751   45.751   45.747  
  -314.6    -2.978   -6.162   -1.997   -4.825   -3.607   -0.096   -0.387   -0.078   -0.151   -0.215   45.743   45.749   45.742   45.750   45.748   45.754   45.757   45.751   45.752   45.748  
  -308.6    -2.857   -5.999   -2.206   -4.715   -3.697   -0.090   -0.416   -0.076   -0.155   -0.217   45.745   45.750   45.742   45.751   45.748   45.753   45.757   45.751   45.752   45.749  
  -302.7    -2.946   -4.761   -2.181   -4.128   -3.691   -0.086   -0.399   -0.076   -0.153   -0.191   45.748   45.748   45.741   45.747   45.751   45.761   45.759   45.755   45.760   45.751  
  -296.7    -3.015   -4.692   -1.836   -4.006   -3.443   -0.091   -0.385   -0.068   -0.152   -0.193   45.746   45.747   45.742   45.745   45.754   45.758   45.757   45.751   45.760   45.750  
  -290.7    -3.002   -4.249   -2.127   -3.711   -3.206   -0.107   -0.348   -0.067   -0.140   -0.209   45.747   45.747   45.744   45.745   45.754   45.757   45.759   45.753   45.759   45.751  
  -284.7    -2.883   -4.109   -1.782   -3.462   -3.369   -0.104   -0.350   -0.067   -0.137   -0.204   45.747   45.748   45.746   45.746   45.756   45.755   45.763   45.753   45.759   45.751  
  -278.7    -2.769   -3.624   -1.592   -3.633   -3.173   -0.102   -0.357   -0.062   -0.136   -0.166   45.749   45.750   45.747   45.748   45.759   45.755   45.769   45.752   45.759   45.751  
  -272.8    -2.525   -3.357   -1.616   -3.416   -2.975   -0.089   -0.350   -0.062   -0.133   -0.161   45.744   45.750   45.747   45.746   45.757   45.756   45.764   45.751   45.761   45.752  
  -266.8    -2.451   -3.316   -1.649   -3.323   -2.877   -0.094   -0.330   -0.062   -0.133   -0.181   45.745   45.751   45.748   45.749   45.759   45.754   45.764   45.752   45.762   45.753  
  -260.8    -2.428   -3.298   -1.474   -3.189   -2.850   -0.099   -0.378   -0.060   -0.109   -0.188   45.744   45.752   45.748   45.749   45.761   45.753   45.766   45.754   45.763   45.753  
  -254.8    -2.212   -2.951   -1.466   -2.843   -2.802   -0.105   -0.327   -0.058   -0.116   -0.170   45.741   45.747   45.743   45.745   45.756   45.750   45.760   45.750   45.756   45.749  
  -248.8    -2.180   -2.938   -1.380   -2.819   -2.714   -0.105   -0.294   -0.058   -0.118   -0.161   45.743   45.750   45.746   45.746   45.757   45.751   45.757   45.752   45.760   45.748  
  -242.9    -2.106   -2.542   -0.941   -2.549   -2.443   -0.093   -0.303   -0.058   -0.117   -0.185   45.748   45.750   45.744   45.745   45.753   45.757   45.758   45.755   45.761   45.750  
