;I_mag;V_gen;X;Y;R;theta;Points
0;-8.0;5.0;1.77921e-05;5.84874e-07;1.78014e-05;1.884;23.0
1;-8.0;5.0;1.77921e-05;5.84874e-07;1.78014e-05;1.884;23.0
2;-8.0;5.0;1.77921e-05;5.84874e-07;1.78014e-05;1.878;23.0
3;-8.0;5.0;1.77921e-05;5.83012e-07;1.78014e-05;1.878;23.0
4;-8.0;5.0;1.77902e-05;5.81149e-07;1.77996e-05;1.872;23.0
5;-8.0;5.0;1.77902e-05;5.81149e-07;1.77996e-05;1.872;23.0
6;-8.0;5.0;1.77902e-05;5.79286e-07;1.77996e-05;1.866;23.0
7;-8.0;5.0;1.77902e-05;5.79286e-07;1.77996e-05;1.866;23.0
8;-8.0;5.0;1.77902e-05;5.77424e-07;1.77977e-05;1.86;23.0
9;-8.0;5.0;1.77884e-05;5.77424e-07;1.77977e-05;1.86;23.0
10;-8.0;5.0;1.77884e-05;5.75561e-07;1.77977e-05;1.854;23.0
11;-8.0;5.0;1.77884e-05;5.75561e-07;1.77977e-05;1.854;23.0
12;-8.0;5.0;1.77865e-05;5.73698e-07;1.77958e-05;1.848;23.0
13;-8.0;5.0;1.77865e-05;5.73698e-07;1.77958e-05;1.848;23.0
14;-8.0;5.0;1.77865e-05;5.71836e-07;1.77958e-05;1.848;23.0
15;-8.0;5.0;1.77865e-05;5.71836e-07;1.77958e-05;1.848;23.0
16;-8.0;5.0;1.77865e-05;5.71836e-07;1.77958e-05;1.842;23.0
17;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.842;23.0
18;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.842;23.0
19;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.836;23.0
20;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.836;23.0
21;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.836;23.0
22;-8.0;5.0;1.77865e-05;5.69973e-07;1.77958e-05;1.83;23.0
23;-8.0;5.0;1.77865e-05;5.6811e-07;1.77958e-05;1.83;23.0
24;-8.0;5.0;1.77865e-05;5.6811e-07;1.77958e-05;1.83;23.0
25;-8.0;5.0;1.77865e-05;5.6811e-07;1.77958e-05;1.83;23.0
26;-8.0;5.0;1.77865e-05;5.6811e-07;1.77958e-05;1.824;23.0
27;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
28;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
29;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
30;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
31;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
32;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
33;-8.0;5.0;1.77865e-05;5.66248e-07;1.77958e-05;1.824;23.0
34;-8.0;5.0;1.77865e-05;5.64385e-07;1.77958e-05;1.818;23.0
35;-8.0;5.0;1.77865e-05;5.64385e-07;1.77958e-05;1.818;23.0
