;I_mag;V_gen;X;Y;R;theta;Points
0;-1.0;5.0;1.76468e-05;5.886e-07;1.76561e-05;1.914;23.0
1;-1.0;5.0;1.76468e-05;5.886e-07;1.76561e-05;1.914;23.0
2;-1.0;5.0;1.76468e-05;5.886e-07;1.76561e-05;1.914;23.0
3;-1.0;5.0;1.76468e-05;5.886e-07;1.76561e-05;1.914;23.0
4;-1.0;5.0;1.76487e-05;5.886e-07;1.7658e-05;1.914;23.0
5;-1.0;5.0;1.76487e-05;5.886e-07;1.7658e-05;1.914;23.0
6;-1.0;5.0;1.76487e-05;5.886e-07;1.7658e-05;1.914;23.0
7;-1.0;5.0;1.76487e-05;5.886e-07;1.7658e-05;1.914;23.0
8;-1.0;5.0;1.76487e-05;5.886e-07;1.7658e-05;1.908;23.0
9;-1.0;5.0;1.76487e-05;5.86737e-07;1.7658e-05;1.908;23.0
10;-1.0;5.0;1.76487e-05;5.86737e-07;1.76561e-05;1.908;23.0
11;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
12;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
13;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
14;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
15;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
16;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
17;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
18;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
19;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
20;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
21;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
22;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
23;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
24;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
25;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
26;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
27;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
28;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
29;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.908;23.0
30;-1.0;5.0;1.76468e-05;5.86737e-07;1.76561e-05;1.902;23.0
31;-1.0;5.0;1.76468e-05;5.84874e-07;1.76561e-05;1.902;23.0
32;-1.0;5.0;1.76468e-05;5.84874e-07;1.76561e-05;1.902;23.0
33;-1.0;5.0;1.76468e-05;5.84874e-07;1.76561e-05;1.902;23.0
34;-1.0;5.0;1.76468e-05;5.84874e-07;1.76561e-05;1.902;23.0
35;-1.0;5.0;1.76468e-05;5.84874e-07;1.76561e-05;1.902;23.0
