;I_mag;V_gen;X;Y;R;theta;Points
0;-9.0;5.0;4.03265e-05;6.22127e-07;4.03302e-05;0.888;12.0
1;-9.0;5.0;4.03265e-05;6.22127e-07;4.03302e-05;0.888;12.0
2;-9.0;5.0;4.03265e-05;6.22127e-07;4.03302e-05;0.888;12.0
3;-9.0;5.0;4.03265e-05;6.22127e-07;4.03302e-05;0.888;12.0
4;-9.0;5.0;4.03228e-05;6.22127e-07;4.03265e-05;0.888;12.0
5;-9.0;5.0;4.03228e-05;6.18402e-07;4.03265e-05;0.882;12.0
6;-9.0;5.0;4.03228e-05;6.18402e-07;4.03265e-05;0.882;12.0
7;-9.0;5.0;4.03228e-05;6.18402e-07;4.03265e-05;0.882;12.0
8;-9.0;5.0;4.0319e-05;6.18402e-07;4.03228e-05;0.882;12.0
9;-9.0;5.0;4.0319e-05;6.18402e-07;4.03228e-05;0.882;12.0
10;-9.0;5.0;4.0319e-05;6.18402e-07;4.03228e-05;0.882;12.0
11;-9.0;5.0;4.0319e-05;6.18402e-07;4.03228e-05;0.882;12.0
12;-9.0;5.0;4.03153e-05;6.18402e-07;4.0319e-05;0.882;12.0
13;-9.0;5.0;4.03153e-05;6.18402e-07;4.0319e-05;0.882;12.0
14;-9.0;5.0;4.03153e-05;6.18402e-07;4.0319e-05;0.882;12.0
15;-9.0;5.0;4.03116e-05;6.18402e-07;4.03153e-05;0.882;12.0
16;-9.0;5.0;4.03116e-05;6.18402e-07;4.03153e-05;0.882;12.0
17;-9.0;5.0;4.03116e-05;6.18402e-07;4.03153e-05;0.882;12.0
18;-9.0;5.0;4.03116e-05;6.18402e-07;4.03116e-05;0.882;12.0
19;-9.0;5.0;4.03116e-05;6.18402e-07;4.03116e-05;0.882;12.0
20;-9.0;5.0;4.03079e-05;6.14677e-07;4.03116e-05;0.876;12.0
21;-9.0;5.0;4.03079e-05;6.14677e-07;4.03116e-05;0.876;12.0
22;-9.0;5.0;4.03041e-05;6.14677e-07;4.03079e-05;0.876;12.0
